dev_pre,dev_label,test_pre,test_label
7.8824573,7.9942193,3.1091533,3.1023993
4.9364543,4.9289403,2.6424737,2.6347995
3.379376,3.3721995,5.068294,5.06222
3.7984147,3.7941995,3.5823674,3.5813994
3.1117787,3.1016002,3.1637263,3.1565995
1.1714501,1.1722999,2.6733823,2.66824
3.865664,3.85928,0.43185186,0.42409945
3.291552,3.2934995,4.027018,4.01802
1.8522515,1.8448997,4.115601,4.113399
1.5645947,1.5520997,-0.04652071,-0.046900272
2.3807673,2.370399,2.9250646,2.9218001
4.327808,4.3201394,3.9455638,3.9384189
3.0272822,3.0173993,2.9921708,2.9930596
4.151097,4.1407,2.972671,2.9603
4.7338996,4.727799,4.602052,4.5925994
1.6685729,1.6548991,3.4942966,3.4852996
2.6762395,2.6663404,1.1632171,1.1657004
4.00919,4.012399,0.47236967,0.4612894
3.8465152,3.8390994,3.617992,3.6130996
2.4640498,2.4529004,1.7394309,1.7368999
0.07017374,0.073839664,3.6109662,3.5951
5.6366506,5.647899,3.1178985,3.1219993
2.5860372,2.5874991,1.7246928,1.712399
2.5188346,2.5254998,4.202617,4.1851993
1.7646241,1.768539,2.3869958,2.3813195
2.2585835,2.25674,0.8561983,0.85619926
0.076420784,0.15329981,3.379477,3.3678994
1.7892327,1.7914796,2.3037515,2.29386
1.2887874,1.2844996,3.274054,3.2709193
2.6967607,2.6890998,3.8132577,3.8051991
3.3752017,3.3672194,2.9365935,2.9233994
0.17528296,0.17509937,3.0012393,2.9956403
5.412433,5.39862,0.32952738,0.32061958
3.917046,3.9154992,1.725699,1.7171998
0.8491416,0.83563995,3.9519954,3.9428391
1.2473636,1.2396197,3.7879796,3.7847
-0.9701743,-0.9538007,3.0253444,3.0163198
4.044521,4.0391393,2.329432,2.3251996
2.9846683,2.9712996,1.9232173,1.9177995
0.35823584,0.34649944,2.2330146,2.227099
3.7714887,3.7623992,4.3629384,4.343
1.7344451,1.7311997,3.0700927,3.0591798
1.2423244,1.254499,4.1152606,4.107139
0.589026,0.5815797,2.464066,2.4556994
2.1273293,2.1263003,3.0804448,3.07902
1.5007663,1.4981198,0.43226767,0.4300995
1.2792192,1.2730002,3.9688973,3.96382
0.8400893,0.88144016,3.010408,2.9961
4.061774,4.0576987,3.2827296,3.2791
4.1956515,4.1910195,1.1164942,1.1076999
4.661258,4.6482997,2.4210773,2.4091992
3.4710221,3.4655995,2.6428285,2.6293998
3.5802665,3.5744195,0.4062643,0.4025197
3.5915418,3.5830998,3.6891856,3.6810193
3.4569573,3.4481902,2.538774,2.534
-0.041455746,-0.03640032,-0.45088196,-0.43180037
3.6501403,3.6448998,2.9326224,2.9291797
2.376865,2.3643994,2.719934,2.7127995
-0.9395566,-0.9366002,3.2862706,3.28122
2.0453353,2.0434995,3.4314666,3.4254193
-0.18355703,-0.19630003,0.82343435,0.822
1.8271298,1.8173995,0.9690962,0.9713197
1.5403094,1.5320201,5.480802,5.4706197
0.89465046,0.88609934,4.1195617,4.1135993
-0.44949865,-0.43530035,4.3321013,4.322
3.67833,3.6621194,1.3581605,1.35848
3.606586,3.5942388,3.7378678,3.7269998
3.1154828,3.10702,0.04595089,0.043600082
2.8737245,2.8652997,2.419621,2.4102998
2.6266646,2.6328998,0.80664444,0.8149195
2.9634547,2.9558997,2.5367684,2.5273995
2.546597,2.5330195,3.4180274,3.4098992
3.7385364,3.7302995,4.0629783,4.052999
3.4757752,3.47302,3.582706,3.5733
2.4413438,2.4218192,3.413116,3.40762
2.977838,2.9670997,-0.15483284,-0.1752801
-1.2676616,-1.2597003,4.105205,4.1004996
2.3699946,2.3610997,3.9628053,3.9598193
3.378302,3.3673997,1.2532372,1.2551198
1.5425544,1.5374999,2.3736138,2.3667798
3.0351777,3.0244994,4.0355096,4.02928
3.4569087,3.4474988,1.4127088,1.4169993
1.9058156,1.9012399,3.6274962,3.6186004
2.7823062,2.7745996,5.223099,5.214479
1.6790347,1.6482997,1.9865012,1.972199
1.9894738,1.9800992,3.373982,3.3651996
2.4882007,2.4815001,2.3410506,2.3215995
4.6715655,4.6763196,3.3527255,3.345199
2.2534442,2.2395997,1.2594523,1.2551999
2.2972608,2.2883,2.7175794,2.7085996
1.8348613,1.8299994,3.5968223,3.6019998
3.1729121,3.1659188,1.0996537,1.1019001
1.3883786,1.3838992,3.6437268,3.6363196
1.5081458,1.4959197,1.357223,1.3467002
3.414455,3.4112191,-0.3335929,-0.33980036
4.0902143,4.0902,2.2973456,2.2838998
0.5490017,0.54749966,3.7589993,3.7470794
0.27480507,0.2857995,1.2834458,1.2752194
3.5335069,3.5252995,1.530724,1.5275998
1.6363463,1.6263804,3.9642825,3.9440198
3.8815484,3.8743997,2.9274812,2.9183993
3.8050199,3.7978988,3.5776696,3.5668197
2.301478,2.2877994,4.5545316,4.5388
3.5987258,3.5885997,1.0699115,1.0673995
3.2372212,3.2307801,1.8819222,1.8762002
2.9073443,2.9015994,2.129704,2.1143003
2.0847878,2.0735002,2.6810002,2.6701999
3.2128854,3.2070193,4.722385,4.710999
1.9683375,1.9661002,1.4935594,1.4880195
3.1577907,3.1576,2.5940862,2.5892396
1.1200643,1.1185999,0.9251032,0.9226999
2.1094966,2.0963197,4.352922,4.3638997
2.503981,2.50182,-0.6512208,-0.6255002
2.052485,2.0457988,1.896934,1.8885989
4.4622245,4.4551597,3.4058728,3.3983998
2.697658,2.6896996,0.628932,0.6308999
3.454965,3.4501996,4.0474086,4.0419993
4.7852416,4.7801995,-2.1018524,-2.0836005
2.9002519,2.8884196,4.6511016,4.64514
2.331802,2.3269,3.240768,3.2365994
1.8236375,1.8130994,3.1015115,3.0872998
2.7494082,2.7423997,4.8945203,4.86956
1.8402848,1.8445001,4.0789266,4.0749993
5.1934285,5.1893,2.9234052,2.9228005
3.482226,3.4711995,4.220902,4.2126994
0.34427547,0.34697962,1.9979892,1.9916196
1.3898625,1.3768001,4.430753,4.4226193
2.3018994,2.2949996,3.7304235,3.7286992
2.4709868,2.4611993,2.575436,2.5684
4.0094533,4.0084996,2.3190398,2.3173003
3.9390645,3.9275994,2.1185565,2.1174989
2.2892709,2.2795997,0.53137016,0.5260997
4.478414,4.484899,3.784799,3.7702994
4.334083,4.329799,1.0336318,1.0284
4.4385858,4.4234996,1.9450355,1.9376197
2.6900268,2.66952,4.2839932,4.2767997
5.2212987,5.2190194,3.0758634,3.0751004
1.3342557,1.3231196,0.37366915,0.3695197
2.757605,2.7492995,3.2369914,3.2332902
3.5330482,3.5285993,2.832954,2.8326192
2.3615994,2.3511996,1.735354,1.7391
2.9707122,2.963019,2.5474753,2.5432
4.1359887,4.1306996,2.1524882,2.1448798
1.4449525,1.4363198,3.1327138,3.1338
3.0430923,3.0358195,3.7257457,3.7115998
1.1527095,1.1478992,4.1899877,4.1866994
4.1674485,4.1525197,2.080711,2.0737996
3.1669812,3.1573997,2.482164,2.4695
2.696733,2.6863198,2.9066834,2.8996997
2.6636996,2.6522994,0.46001577,0.4621997
2.7020469,2.6929994,2.1983705,2.1837
