dev_pre,dev_label,test_pre,test_label
8.328079,7.99422,3.1024277,3.1024
4.9753337,4.92894,2.635515,2.6348
3.3517375,3.3722,5.1334105,5.06222
3.814527,3.7942,3.5853407,3.5814
3.117775,3.1016,3.1569722,3.1566
1.1498752,1.1723,2.6913452,2.66824
3.9029055,3.85928,0.42708993,0.4241
3.2877688,3.2935,4.0334997,4.01802
1.8218076,1.8449,4.1261454,4.1134
1.5541389,1.5521,-0.085942745,-0.0469
2.3763142,2.3704,2.8970432,2.9218
4.344997,4.32014,3.9339633,3.93842
3.0186474,3.0174,2.9841015,2.99306
4.177011,4.1407,2.962551,2.9603
4.776143,4.7278,4.640353,4.5926
1.6488574,1.6549,3.477496,3.4853
2.6649952,2.66634,1.1532667,1.1657
4.0037794,4.0124,0.5004296,0.46129
3.8639598,3.8391,3.6273968,3.6131
2.4621863,2.4529,1.7061677,1.7369
0.083188415,0.07384,3.6108294,3.5951
5.6943083,5.6479,3.1485975,3.122
2.5927954,2.5875,1.7364961,1.7124
2.5053887,2.5255,4.2124367,4.1852
1.7417393,1.76854,2.3853164,2.38132
2.2402282,2.25674,0.8484262,0.8562
0.075817406,0.1533,3.3997478,3.3679
1.795491,1.79148,2.2970138,2.29386
1.2904098,1.2845,3.2489955,3.27092
2.6782143,2.6891,3.799594,3.8052
3.379524,3.36722,2.92759,2.9234
0.18327802,0.1751,2.9960976,2.99564
5.432621,5.39862,0.3107813,0.32062
3.9352944,3.9155,1.7027857,1.7172
0.81968963,0.83564,3.9646811,3.94284
1.2135041,1.23962,3.822377,3.7847
-1.072591,-0.9538,3.0207376,3.01632
4.032517,4.03914,2.328549,2.3252
2.9807549,2.9713,1.8829805,1.9178
0.34944683,0.3465,2.2017646,2.2271
3.7401998,3.7624,4.3745036,4.343
1.7337114,1.7312,3.0639586,3.05918
1.2153468,1.2545,4.121999,4.10714
0.5944675,0.58158,2.4533508,2.4557
2.0994618,2.1263,3.080451,3.07902
1.4923725,1.49812,0.43500364,0.4301
1.241281,1.273,3.9784808,3.96382
0.7865146,0.88144,3.0317864,2.9961
4.10357,4.0577,3.2874866,3.2791
4.2070575,4.19102,1.1243922,1.1077
4.7136397,4.6483,2.4196405,2.4092
3.4724805,3.4656,2.6389751,2.6294
3.5748034,3.57442,0.41567355,0.40252
3.5947957,3.5831,3.6876516,3.68102
3.446027,3.44819,2.5040271,2.534
-0.047497153,-0.0364,-0.5735493,-0.4318
3.6584277,3.6449,2.92659,2.92918
2.3875597,2.3644,2.730536,2.7128
-0.974434,-0.9366,3.2740235,3.28122
2.0133567,2.0435,3.4106727,3.42542
-0.2447319,-0.1963,0.818246,0.822
1.8061793,1.8174,0.9624979,0.97132
1.5273792,1.53202,5.522409,5.47062
0.87260336,0.8861,4.161239,4.1136
-0.43819427,-0.4353,4.3754416,4.322
3.6686609,3.66212,1.327646,1.35848
3.5985663,3.59424,3.7489464,3.727
3.1138587,3.10702,0.033413768,0.0436
2.8662798,2.8653,2.4201727,2.4103
2.6137877,2.6329,0.81797093,0.81492
2.930159,2.9559,2.5370286,2.5274
2.556106,2.53302,3.3943894,3.4099
3.7611506,3.7303,4.0703535,4.053
3.4736352,3.47302,3.604056,3.5733
2.4033425,2.42182,3.429443,3.40762
2.9839265,2.9671,-0.21404028,-0.17528
-1.3362181,-1.2597,4.130783,4.1005
2.363399,2.3611,3.96413,3.95982
3.3885539,3.3674,1.2628055,1.25512
1.5333233,1.5375,2.3720484,2.36678
