dev_pre,dev_label,test_pre,test_label
8.013603,7.99422,3.1040683,3.1024
4.976989,4.92894,2.6224399,2.6348
3.373458,3.3722,5.119549,5.06222
3.8043542,3.7942,3.5866127,3.5814
3.088435,3.1016,3.1649506,3.1566
1.1668327,1.1723,2.66675,2.66824
3.8708434,3.85928,0.40171504,0.4241
3.2786264,3.2935,4.0162983,4.01802
1.8337637,1.8449,4.1212244,4.1134
1.5697163,1.5521,-0.09639561,-0.0469
2.3873734,2.3704,2.906679,2.9218
4.329271,4.32014,3.9446607,3.93842
3.0238886,3.0174,2.974568,2.99306
4.156274,4.1407,2.951662,2.9603
4.7891955,4.7278,4.6367455,4.5926
1.6700304,1.6549,3.4901223,3.4853
2.6812143,2.66634,1.1837572,1.1657
3.9819703,4.0124,0.4651171,0.46129
3.8488698,3.8391,3.6226716,3.6131
2.4607816,2.4529,1.7476988,1.7369
0.03734529,0.07384,3.6058006,3.5951
5.7373238,5.6479,3.1655862,3.122
2.5603113,2.5875,1.7507011,1.7124
2.5010176,2.5255,4.21993,4.1852
1.7692449,1.76854,2.3745086,2.38132
2.2462578,2.25674,0.86419076,0.8562
0.044887662,0.1533,3.3590949,3.3679
1.8004662,1.79148,2.3240833,2.29386
1.3111389,1.2845,3.2656052,3.27092
2.6833072,2.6891,3.8386135,3.8052
3.357103,3.36722,2.9672222,2.9234
0.16016454,0.1751,2.9945517,2.99564
5.4887857,5.39862,0.28211832,0.32062
3.9165301,3.9155,1.7208946,1.7172
0.82932174,0.83564,3.9640162,3.94284
1.2109977,1.23962,3.8003902,3.7847
-1.1167884,-0.9538,3.028946,3.01632
4.071274,4.03914,2.3398564,2.3252
2.9933095,2.9713,1.8966999,1.9178
0.3376007,0.3465,2.2372413,2.2271
3.7518098,3.7624,4.394397,4.343
1.7454455,1.7312,3.0833075,3.05918
1.200557,1.2545,4.104211,4.10714
0.5865544,0.58158,2.4869418,2.4557
2.126744,2.1263,3.091238,3.07902
1.4951956,1.49812,0.42661518,0.4301
1.2723404,1.273,3.98841,3.96382
0.8148524,0.88144,3.0176415,2.9961
4.0763097,4.0577,3.2975626,3.2791
4.203851,4.19102,1.1307973,1.1077
4.706793,4.6483,2.4169312,2.4092
3.4707072,3.4656,2.6420813,2.6294
3.603253,3.57442,0.4111144,0.40252
3.6047792,3.5831,3.7083185,3.68102
3.4223344,3.44819,2.5220025,2.534
-0.080833435,-0.0364,-0.54047346,-0.4318
3.650351,3.6449,2.929142,2.92918
2.3673735,2.3644,2.7686608,2.7128
-0.9996593,-0.9366,3.2879105,3.28122
2.0389369,2.0435,3.4408238,3.42542
-0.24663925,-0.1963,0.82130194,0.822
1.8189573,1.8174,0.9711093,0.97132
1.5427496,1.53202,5.547283,5.47062
0.8736962,0.8861,4.1366754,4.1136
-0.47237992,-0.4353,4.347626,4.322
3.6788473,3.66212,1.376645,1.35848
3.6048465,3.59424,3.752902,3.727
3.1257744,3.10702,-0.00027805567,0.0436
2.8629117,2.8653,2.431014,2.4103
2.6123104,2.6329,0.8480096,0.81492
2.9558444,2.9559,2.5477524,2.5274
2.5474193,2.53302,3.4310806,3.4099
3.7623425,3.7303,4.0799985,4.053
3.482699,3.47302,3.6057374,3.5733
2.4319406,2.42182,3.4298954,3.40762
3.0064602,2.9671,-0.22103429,-0.17528
-1.35068,-1.2597,4.1341734,4.1005
2.3750863,2.3611,3.9603467,3.95982
3.4326684,3.3674,1.272195,1.25512
1.5532146,1.5375,2.3950272,2.36678
3.0215955,3.0245,4.071255,4.02928
3.4888613,3.4475,1.4226327,1.417
1.9166281,1.90124,3.6262763,3.6186
2.7688553,2.7746,5.261934,5.21448
1.661638,1.6483,1.9767314,1.9722
2.008819,1.9801,3.3470745,3.3652
2.4924493,2.4815,2.308249,2.3216
4.70077,4.67632,3.3648005,3.3452
2.2472277,2.2396,1.2612498,1.2552
2.2991662,2.2883,2.706392,2.7086
1.8103776,1.83,3.6205544,3.602
3.17356,3.16592,1.100445,1.1019
1.4041722,1.3839,3.672575,3.63632
1.5194505,1.49592,1.3596863,1.3467
3.4329524,3.41122,-0.40519714,-0.3398
4.0783257,4.0902,2.2951875,2.2839
0.5484879,0.5475,3.7860825,3.74708
0.25549948,0.2858,1.2922082,1.27522
3.5257878,3.5253,1.5516791,1.5276
1.6404843,1.62638,3.949518,3.94402
3.894621,3.8744,2.9036312,2.9184
3.8141572,3.7979,3.6259794,3.56682
2.296872,2.2878,4.5951824,4.5388
3.624196,3.5886,1.0671586,1.0674
3.237359,3.23078,1.8598282,1.8762
2.9025369,2.9016,2.1104658,2.1143
2.0921268,2.0735,2.6679707,2.6702
3.2080884,3.20702,4.761161,4.711
1.9572783,1.9661,1.4990714,1.48802
3.1232862,3.1576,2.6024091,2.58924
1.1276007,1.1186,0.93250424,0.9227
2.111156,2.09632,4.3998156,4.3639
2.504489,2.50182,-0.6798357,-0.6255
2.0408633,2.0458,1.901772,1.8886
4.5062704,4.45516,3.4049082,3.3984
2.6769972,2.6897,0.6317347,0.6309
3.4659734,3.4502,4.038844,4.042
4.8492074,4.7802,-2.2018874,-2.0836
2.863854,2.88842,4.709787,4.64514
2.35466,2.3269,3.241929,3.2366
1.8227434,1.8131,3.0914445,3.0873
2.7522838,2.7424,4.9320354,4.86956
1.8255597,1.8445,4.072239,4.075
5.241619,5.1893,2.924093,2.9228
3.4962606,3.4712,4.241987,4.2127
0.30910552,0.34698,1.9868785,1.99162
1.3775907,1.3768,4.455572,4.42262
2.3244958,2.295,3.7243817,3.7287
2.4528022,2.4612,2.569114,2.5684
4.0279965,4.0085,2.3358364,2.3173
3.9347587,3.9276,2.125379,2.1175
2.2532206,2.2796,0.5021894,0.5261
4.488116,4.4849,3.7912235,3.7703
4.3442016,4.3298,1.0460231,1.0284
4.480519,4.4235,1.9536334,1.93762
2.682102,2.66952,4.3236237,4.2768
5.2726674,5.21902,3.0281708,3.0751
1.3493452,1.32312,0.33949375,0.36952
2.7538803,2.7493,3.26025,3.23329
3.5417633,3.5286,2.8176248,2.83262
2.3439841,2.3512,1.7455083,1.7391
2.9518561,2.96302,2.541641,2.5432
4.1858263,4.1307,2.1419656,2.14488
1.4468551,1.43632,3.1311443,3.1338
3.0288982,3.03582,3.727426,3.7116
1.1549435,1.1479,4.2028565,4.1867
4.186234,4.15252,2.0731542,2.0738
3.1606822,3.1574,2.491503,2.4695
2.6937437,2.68632,2.8946667,2.8997
2.659452,2.6523,0.46423972,0.4622
2.682457,2.693,2.191536,2.1837
-3.8874269,-3.7485,5.673684,5.5664
1.0677323,1.064,0.4767877,0.4784
1.2493169,1.2287,2.346664,2.34484
4.014099,4.0023,3.3701408,3.36022
0.447585,0.4416,4.2951417,4.2503
0.41020095,0.4732,4.90039,4.86434
1.5334525,1.522,3.1387174,3.17188
3.8989062,3.8882,1.9354397,1.9199
2.376903,2.3964,2.0127144,1.9977
4.2022533,4.17032,0.5162728,0.524
4.495609,4.43922,2.5132918,2.51872
4.270626,4.2273,3.7023516,3.7029
2.4356966,2.42646,3.6386135,3.61074
2.6941702,2.6991,0.711368,0.7181
0.08661568,0.0952,3.8641686,3.8511
3.31674,3.27352,1.0286286,1.02812
3.6326697,3.5989,2.3993578,2.3822
0.24553865,0.30674,4.022244,4.0002
1.8995645,1.9044,4.043484,4.0371
-0.59966445,-0.47192,1.8711668,1.8458
3.718975,3.6617,4.266325,4.2777
3.8128188,3.7942,2.1791267,2.17352
0.8593336,0.8626,3.3589845,3.3458
2.3047953,2.3066,4.401106,4.3636
2.9156399,2.916,1.2503769,1.255
0.82340926,0.8083,3.5329123,3.52334
1.6615579,1.6545,2.5096421,2.5113
3.1131191,3.0949,3.8465595,3.8208
2.813027,2.8267,5.3691587,5.3136
1.4319354,1.4265,3.105804,3.0578
3.78427,3.79422,1.9233072,1.93162
1.5697473,1.56122,1.5869093,1.5936
1.395582,1.413,1.3946384,1.4095
2.0741284,2.0614,2.7850776,2.7735
-0.25828958,-0.2146,-0.8764684,-0.8359
0.67692876,0.6509,0.9402561,0.9196
1.87702,1.8717,3.9752436,3.9674
4.43711,4.3838,1.4459246,1.43142
0.9035966,0.8849,0.46450287,0.4549
2.6487458,2.6745,1.371879,1.352
-1.7256677,-1.6425,-0.07202804,-0.0286
0.9838769,0.9741,3.1701784,3.1593
-0.40504515,-0.3688,-0.0037938356,0.0608
1.5799656,1.573,1.5629449,1.543
3.1451912,3.16194,1.3233358,1.33
1.9970903,1.99328,0.43511778,0.444
4.099935,4.1009,3.7648475,3.7688
2.6867905,2.6689,3.9785361,3.95014
-0.6278908,-0.554,2.5259838,2.54252
-0.7762474,-0.7455,1.5014797,1.4713
3.3118048,3.2968,1.589699,1.56808
4.473811,4.44422,3.9266512,3.9162
2.5987864,2.63322,2.7685733,2.75072
1.7870011,1.7668,2.0241735,2.01392
2.252067,2.25002,1.1636484,1.1467
1.9771483,1.97582,1.7521441,1.73722
2.653751,2.64298,-0.04683137,-0.0322
3.9178843,3.9059,4.513296,4.4908
2.1523457,2.1483,2.3745885,2.38162
3.904695,3.8999,1.3052517,1.3151
4.611073,4.6033,4.145158,4.1137
1.6760075,1.6926,3.5377572,3.56416
0.7215977,0.7122,2.9176679,2.91532
2.323272,2.3176,3.1951566,3.22364
3.1412768,3.1498,2.672309,2.6712
1.577878,1.5762,2.8033698,2.8113
4.3607697,4.3233,4.173607,4.1662
-0.5350894,-0.4987,3.9170008,3.9021
2.1426458,2.1522,4.2139616,4.17492
0.43087184,0.4404,2.6623101,2.6593
1.5982714,1.5751,3.1333864,3.10702
3.6049068,3.59654,2.6863317,2.68932
2.8311982,2.805,4.4942694,4.46272
2.5846057,2.5588,3.616729,3.6087
1.9400952,1.9391,1.5406609,1.54002
3.612548,3.5992,0.5059874,0.50748
1.2974298,1.3105,-1.7837411,-1.6245
0.17574817,0.19084,3.1913648,3.19694
3.7925768,3.7804,2.8959274,2.91458
4.2368274,4.19692,1.6678649,1.6567
4.694014,4.62372,1.3768512,1.3719
3.5253737,3.5128,1.4494672,1.4286
3.343902,3.35152,2.5508137,2.5765
2.2023816,2.19372,0.34700632,0.35922
1.690819,1.71182,3.1561203,3.13546
3.2099104,3.16582,3.5536802,3.53544
2.3838327,2.37368,3.0693703,3.05692
2.665187,2.6961,3.7921286,3.7683
0.44656873,0.46182,-0.8948386,-0.84432
2.5920181,2.5803,3.199717,3.2051
3.6760192,3.67512,3.362099,3.391
0.6940162,0.66808,5.7172394,5.62014
2.5797138,2.5857,1.7060301,1.6972
3.3170176,3.298,0.06800264,0.1185
2.6752458,2.6752,2.0240471,2.0681
6.237049,6.1347,3.352692,3.3506
3.1769052,3.1756,2.7282653,2.6985
2.5472927,2.5461,-2.211727,-2.0533
4.0628347,4.02102,3.3859131,3.389
3.6601133,3.65622,3.6611354,3.6483
3.3766093,3.3558,3.761985,3.73282
1.6241246,1.62956,2.102103,2.1163
2.515256,2.51962,1.992082,1.96972
3.4702418,3.44642,1.7123356,1.697
4.635926,4.5785,-0.6290555,-0.6071
3.9390957,3.8301,1.6690046,1.6352
2.235072,2.2148,3.115067,3.1104
1.4535898,1.4471,2.448773,2.4412
-0.012649596,0.03902,3.3159633,3.29524
2.6948576,2.67742,3.0336645,3.0364
5.037717,4.9906,-0.4096377,-0.30618
1.7563319,1.7465,-0.6153977,-0.5673
-0.09562433,-0.0673,3.1757796,3.1899
4.5602474,4.5087,2.9990711,3.01342
1.349189,1.33732,5.5813932,5.5105
4.2245426,4.2071,4.623447,4.5542
1.3692307,1.3468,1.5811592,1.5692
1.7217133,1.7065,3.6552608,3.64382
0.8887559,0.87772,1.9405105,1.93496
4.1213045,4.1284,2.1384063,2.1217
4.2848525,4.2611,3.7051747,3.69662
2.6671052,2.6779,3.892101,3.86228
3.8986194,3.88,2.9495347,2.9568
4.2864614,4.2593,3.6513293,3.6502
1.9397483,1.9256,2.984755,2.9558
-0.61894953,-0.5908,3.2026577,3.19522
1.128484,1.13182,3.0566347,3.05328
3.2917473,3.25382,3.9663985,3.9214
4.0562077,4.035,0.61987877,0.6197
4.41042,4.38,-0.77946544,-0.7181
4.1919026,4.19152,3.5274136,3.5213
3.131404,3.14178,-1.3569605,-1.26078
3.0850892,3.07922,4.3004737,4.25858
2.536643,2.5591,4.053268,4.0703
3.1677265,3.1402,3.1217809,3.1483
1.7559981,1.7519,3.099762,3.0926
4.4387746,4.41124,2.7676666,2.78634
1.7248094,1.7059,1.1517301,1.1452
2.4317684,2.437,5.2641087,5.1792
2.8663783,2.8641,-0.93008757,-0.8516
0.93339354,0.9091,4.08503,4.08232
0.39135337,0.39872,3.9218547,3.9023
3.2883265,3.2748,2.1052763,2.0888
2.9859939,2.9533,2.473731,2.44532
1.73681,1.7497,1.4312768,1.4013
1.018858,1.0207,3.4368424,3.43452
