dev_pre,dev_label,test_pre,test_label
0.34225368,0.33750802,0.88330126,0.8836845
0.39382207,0.39585543,0.7760358,0.7751423
0.76982945,0.7716595,0.6529283,0.6522547
0.6162634,0.62377864,0.811064,0.8121244
0.6283365,0.6289814,0.67627054,0.6776581
0.80500275,0.80405635,0.57610816,0.5759088
0.74834675,0.74876094,0.8293752,0.8275881
0.67179084,0.6705136,0.72543675,0.7268084
0.7552776,0.75443786,0.53702885,0.5371943
0.7529315,0.752801,0.80630654,0.80713403
0.9257467,0.92522675,0.83929193,0.8383005
0.51456004,0.51519835,0.36024374,0.35728222
0.39089292,0.38926739,0.72636485,0.7280837
0.4758881,0.47519085,0.53658307,0.5393495
0.7163374,0.72303283,0.38611037,0.38508797
0.76245725,0.7605767,0.47587255,0.4781054
0.92319703,0.9224449,0.7133553,0.7097544
0.47075775,0.453647,0.76130134,0.7592198
0.6921999,0.6943423,0.8059674,0.80646634
0.75680643,0.75325906,0.82413197,0.8255408
0.8234336,0.8221679,0.54167396,0.5422959
0.48029315,0.4768861,0.8372922,0.83927655
0.7276581,0.72766423,0.92770505,0.9270514
0.44898078,0.44324628,0.7312255,0.7352813
0.92508674,0.92170113,0.8845523,0.8834146
0.65978205,0.66039044,0.73381627,0.73478174
0.8265608,0.83756566,0.5546971,0.55082774
0.8585907,0.85682994,0.7552144,0.75496453
0.8180342,0.81617343,0.8365023,0.83267385
0.79333067,0.79368985,0.58695877,0.5838168
0.5532506,0.5561947,0.70405734,0.70526534
0.74444735,0.74477,0.6331503,0.6360528
0.61674654,0.6176857,0.86428523,0.8606346
0.7471626,0.75438315,0.90195096,0.89970833
0.8789042,0.87778056,0.6746811,0.6794759
0.7568828,0.75309926,0.8860472,0.8878529
0.7670214,0.7602084,0.8605161,0.86070484
0.7574974,0.75446135,0.5246819,0.6599539
0.5780034,0.5767682,0.8248548,0.8262516
0.80834836,0.80632627,0.73696154,0.7367354
0.6318582,0.6369744,0.7728971,0.7778668
0.82006675,0.82136184,0.8924438,0.89254504
0.4334097,0.57868826,0.4651931,0.46431524
0.8706431,0.8739577,0.6137511,0.61288893
0.872644,0.87162954,0.79548764,0.7957355
0.7462592,0.7455554,0.70853794,0.7077467
0.9074185,0.9091262,0.7618506,0.7642941
0.8846245,0.8938126,0.90427935,0.90678334
0.6570342,0.6595526,0.7484801,0.7130825
0.5878292,0.586535,0.78875315,0.7872023
0.67285275,0.68094534,0.5870399,0.5875954
0.75354075,0.75560886,0.8448125,0.845321
0.84370446,0.843179,0.78327954,0.78018945
0.7168716,0.71714747,0.8924987,0.8923067
0.5543593,0.5538281,0.7723104,0.77371514
0.5848466,0.58506906,0.51514757,0.51286304
0.705482,0.70801795,0.81549585,0.81655943
0.6703869,0.66805893,0.83258915,0.8290337
0.52036077,0.5189469,0.8717688,0.87308484
0.68506473,0.685959,0.6420007,0.64096516
0.5641943,0.55325806,0.8032087,0.8005724
0.9108812,0.91102386,0.7982547,0.80086905
0.8736427,0.87220156,0.24861175,0.24630272
0.56993055,0.5674568,0.58238804,0.57979095
0.70819104,0.7003425,0.44417968,0.5368383
0.66560656,0.6727441,0.6864227,0.6883925
0.56876,0.5707979,0.81145847,0.8143267
0.6223016,0.6240132,0.71427846,0.7117231
