dev_pre,dev_label,test_pre,test_label
0.29516965,0.33750802,0.8830817,0.8836845
0.4001529,0.39585543,0.7699211,0.7751423
0.7732844,0.7716595,0.65498495,0.6522547
0.6157243,0.62377864,0.8137779,0.8121244
0.63126504,0.6289814,0.67489743,0.6776581
0.8027279,0.80405635,0.5771404,0.5759088
0.7463096,0.74876094,0.82745177,0.8275881
0.6693059,0.6705136,0.72950846,0.7268084
0.7526948,0.75443786,0.538826,0.5371943
0.75285614,0.752801,0.8011613,0.80713403
0.92369443,0.92522675,0.8382493,0.8383005
0.51718384,0.51519835,0.36112127,0.35728222
0.39020553,0.38926739,0.72898054,0.7280837
0.47650805,0.47519085,0.53683937,0.5393495
0.729257,0.72303283,0.38542902,0.38508797
0.75717133,0.7605767,0.47855642,0.4781054
0.92129445,0.9224449,0.70714915,0.7097544
0.48030743,0.453647,0.75926954,0.7592198
0.69832206,0.6943423,0.8082981,0.80646634
0.7565641,0.75325906,0.8229555,0.8255408
0.8182893,0.8221679,0.54489976,0.5422959
0.49073264,0.4768861,0.8447343,0.83927655
0.68415904,0.72766423,0.9247324,0.9270514
0.44466192,0.44324628,0.734555,0.7352813
0.9187994,0.92170113,0.8845537,0.8834146
0.6562904,0.66039044,0.7279584,0.73478174
0.83175635,0.83756566,0.5538446,0.55082774
0.85568905,0.85682994,0.74900067,0.75496453
0.81390035,0.81617343,0.83820593,0.83267385
0.79390156,0.79368985,0.58397204,0.5838168
0.5595571,0.5561947,0.70309556,0.70526534
0.7431825,0.74477,0.6383811,0.6360528
0.6151695,0.6176857,0.85886323,0.8606346
0.751361,0.75438315,0.89885163,0.89970833
0.86868393,0.87778056,0.6799132,0.6794759
0.75359905,0.75309926,0.88737786,0.8878529
0.7576016,0.7602084,0.8599665,0.86070484
0.7591115,0.75446135,0.6575513,0.6599539
0.57427585,0.5767682,0.8244669,0.8262516
0.80344784,0.80632627,0.7325909,0.7367354
0.64356077,0.6369744,0.7751297,0.7778668
0.81966454,0.82136184,0.8923844,0.89254504
0.57227033,0.57868826,0.4617161,0.46431524
0.87093,0.8739577,0.6134109,0.61288893
0.86715776,0.87162954,0.79580855,0.7957355
0.74822783,0.7455554,0.7059623,0.7077467
0.9024368,0.9091262,0.76516235,0.7642941
0.88774085,0.8938126,0.90225065,0.90678334
0.6616789,0.6595526,0.71399695,0.7130825
0.5876404,0.586535,0.7862182,0.7872023
0.6780571,0.68094534,0.5882991,0.5875954
0.75558484,0.75560886,0.8466009,0.845321
0.84412986,0.843179,0.77966046,0.78018945
0.71757394,0.71714747,0.8900214,0.8923067
0.55648834,0.5538281,0.77418685,0.77371514
0.5840038,0.58506906,0.50927633,0.51286304
0.7074507,0.70801795,0.813724,0.81655943
0.66935635,0.66805893,0.83991635,0.8290337
0.51405287,0.5189469,0.8727405,0.87308484
0.6864749,0.685959,0.63919336,0.64096516
0.5590774,0.55325806,0.79998636,0.8005724
0.90865904,0.91102386,0.7957535,0.80086905
0.86839163,0.87220156,0.24873742,0.24630272
0.56973857,0.5674568,0.57943577,0.57979095
0.6935321,0.7003425,0.5378548,0.5368383
0.6748985,0.6727441,0.6903293,0.6883925
0.5691367,0.5707979,0.81704456,0.8143267
0.62317204,0.6240132,0.7079013,0.7117231
0.76887196,0.7685435,0.8615151,0.8626089
0.8535993,0.85687524,0.47772896,0.6049312
0.84015524,0.79104984,0.9240892,0.926504
0.7809849,0.78109723,0.45295757,0.45430002
0.8702231,0.87165165,0.8339946,0.8339388
0.8674383,0.86786926,0.8893555,0.88838804
0.25796238,0.25058892,0.4576305,0.4607887
0.84146917,0.8415399,0.44829875,0.44421956
0.6116818,0.61248857,0.32166436,0.32479954
0.8673197,0.86831903,0.62855303,0.62506926
0.7190088,0.72115433,0.49928054,0.63643503
0.91545916,0.9176319,0.90099204,0.90503883
0.46478322,0.46497816,0.8093874,0.8085323
0.6308313,0.6291158,0.6231958,0.6230478
0.91008115,0.91118395,0.54684246,0.5471277
0.6835768,0.68297035,0.3559692,0.35300425
0.45520428,0.45558405,0.85547745,0.85830456
0.7990229,0.80564725,0.60173064,0.6023608
0.8931408,0.89628893,0.7856696,0.7878733
0.46446115,0.45811534,0.7850599,0.78355193
0.56553036,0.56526375,0.83337945,0.8351675
0.88814974,0.88830817,0.7796782,0.7808274
0.79938424,0.7993133,0.8681413,0.86760074
0.73469627,0.7367535,0.7833203,0.7893947
0.6701422,0.6718487,0.88426876,0.8852319
0.7032999,0.70728695,0.83832586,0.83930504
0.8100177,0.81063384,0.51224613,0.51863647
0.5810086,0.5774339,0.79771996,0.79789644
0.76419324,0.78149325,0.7761333,0.77668077
0.80755424,0.80914253,0.8842997,0.8818675
0.647794,0.6496743,0.8045098,0.80790037
0.7646642,0.76583105,0.590508,0.59123147
0.76718307,0.76731086,0.61081463,0.611572
0.60408205,0.6019987,0.8340427,0.8345727
0.81045216,0.81564295,0.65461874,0.6537013
0.8191386,0.8199629,0.8416121,0.84041977
0.92619705,0.9266394,0.82184196,0.82250684
0.83237296,0.8313821,0.8222762,0.82272995
0.84516907,0.8485883,0.81981754,0.87102777
0.80672044,0.80512303,0.5141128,0.50997055
0.86388004,0.86795473,0.9016332,0.9022311
0.32038355,0.3172195,0.83715326,0.8392306
0.91124463,0.91623306,0.85715187,0.8598644
0.84960294,0.8493726,0.43063462,0.42211
0.8680475,0.86871237,0.8358369,0.82975006
0.6023917,0.5974444,0.81999743,0.8174853
0.6340995,0.6369526,0.7167561,0.7189755
0.7707057,0.7718756,0.8425942,0.84214073
0.87683034,0.87567437,0.6950503,0.6977639
0.721519,0.7367542,0.5534696,0.5639544
0.54740685,0.54325604,0.50376964,0.5094117
0.68739474,0.69649863,0.6230955,0.6241047
0.65734625,0.6570589,0.85623205,0.8591463
0.74333763,0.74366254,0.69942033,0.6962959
0.46570507,0.46621767,0.6271141,0.6262913
0.56684947,0.5617084,0.8448342,0.8427298
0.71123105,0.7108669,0.7028264,0.6997109
0.59727275,0.59760094,0.7907702,0.79411715
0.66352975,0.6653836,0.52597785,0.524595
0.9416913,0.943626,0.811958,0.80854565
0.71554506,0.7191737,0.66868216,0.6699783
0.84668875,0.84439874,0.6554709,0.66148996
0.65955305,0.65820545,0.84597373,0.85115427
0.8313885,0.8377855,0.8308222,0.8323622
0.55646074,0.5577687,0.807009,0.81412846
0.65208316,0.6498717,0.80632925,0.8070048
0.84090614,0.8389802,0.7716248,0.7737158
0.72579825,0.7267876,0.77605885,0.7760036
0.56150436,0.5568495,0.608555,0.60808
0.7801504,0.7805239,0.7294272,0.7315933
0.6408505,0.64118546,0.69819826,0.696903
0.8861829,0.8838376,0.6616401,0.6664827
0.78191197,0.7852785,0.82758224,0.82508045
0.66606915,0.66335684,0.81745255,0.8187421
0.704385,0.69880646,0.8940021,0.8942662
0.74557346,0.7450161,0.89742386,0.8948498
0.6097606,0.6131383,0.5486011,0.5454355
0.86911,0.87205523,0.74424875,0.7451187
0.51631564,0.5134878,0.9175459,0.92182845
0.6981552,0.6979008,0.873115,0.8739699
0.77103966,0.77264464,0.7405392,0.7399054
0.6778189,0.6779374,0.647944,0.6538104
0.8393439,0.84065497,0.7987186,0.7995935
0.5637945,0.5683051,0.66836506,0.6678416
0.7891692,0.7922098,0.7492982,0.7511967
0.838182,0.83542705,0.726541,0.7267333
0.8467439,0.8414882,0.8740878,0.871522
0.35695142,0.44629496,0.730163,0.734927
0.8640623,0.8767784,0.45750618,0.4524675
0.9028976,0.9039089,0.8362266,0.8276329
0.8832333,0.88614243,0.6133123,0.6164439
0.88422036,0.88549185,0.86599433,0.8686535
0.7836423,0.78305054,0.73744947,0.7366499
0.50716454,0.39553162,0.6174443,0.6151534
0.61320525,0.6172403,0.49254748,0.49108568
0.6476279,0.6499791,0.61587745,0.6171763
0.85147244,0.8448961,0.7120757,0.71276206
0.81512654,0.81174,0.6432354,0.6434381
0.7688843,0.7755017,0.92587984,0.92661804
0.8193951,0.8183334,0.84118915,0.84257853
0.85379833,0.86147445,0.7889596,0.7883355
0.80935645,0.809848,0.6553561,0.6557434
0.3025177,0.3086033,0.81225115,0.81422687
0.7405648,0.73856056,0.5284682,0.52989984
0.76456136,0.7711114,0.8337117,0.8349963
0.8155458,0.8181383,0.678759,0.6780057
0.8450445,0.84338593,0.6201104,0.62121487
0.65940344,0.6600858,0.8630338,0.86829495
0.7959963,0.8000889,0.64159226,0.6386613
0.6011272,0.60669523,0.852933,0.8557533
0.881323,0.88338757,0.7696227,0.77061987
0.86872375,0.8713016,0.6931127,0.5306231
0.6068768,0.6012522,0.44161078,0.44153672
0.30401182,0.3976167,0.65854025,0.6592369
0.9046143,0.9053327,0.7375133,0.73727787
0.8789727,0.8801242,0.57326394,0.5719145
0.8980249,0.8976931,0.8967166,0.89877534
0.77413136,0.78454185,0.68516284,0.6849431
0.70305645,0.70419186,0.8480772,0.8477538
0.89784133,0.89937025,0.82280993,0.82255125
0.6459526,0.64365655,0.8653898,0.86631775
0.5913981,0.59200484,0.742494,0.74651474
0.5453213,0.56502086,0.7701701,0.7721366
0.6447569,0.6480734,0.81404686,0.81155396
0.32850337,0.32662228,0.8927007,0.8932996
0.8548895,0.85166407,0.705359,0.70816976
0.856896,0.85514784,0.7106659,0.71465075
0.41028333,0.4112628,0.8661696,0.86814344
0.9229803,0.9258171,0.6595801,0.6681412
0.31586796,0.3131621,0.8771194,0.87465173
0.6627774,0.6614113,0.6328945,0.63566315
0.7058175,0.70402294,0.7640178,0.7648802
0.6564069,0.6589474,0.61916906,0.626099
0.55750704,0.560442,0.9216844,0.9240888
0.5059682,0.5040152,0.69245785,0.6912624
0.74884623,0.75089306,0.8055861,0.8093446
0.9045625,0.90698093,0.8980075,0.90381444
0.88501495,0.88804626,0.61953366,0.62322426
0.5069295,0.5055607,0.800804,0.8032786
0.80304945,0.80420685,0.86067784,0.8529927
0.66474795,0.662154,0.25776452,0.25199395
0.92264855,0.9270108,0.8820405,0.88114315
0.65491825,0.65481925,0.8903223,0.89333963
0.32942778,0.32498175,0.8630867,0.8598931
0.7874037,0.7913718,0.45458022,0.44878852
0.8439677,0.8470944,0.85855377,0.8561408
0.8621134,0.8648531,0.42615214,0.42408141
0.8229562,0.8217147,0.76711017,0.766356
0.8461449,0.8464162,0.87650836,0.87497437
0.50490505,0.5026018,0.7875299,0.78887266
0.72728354,0.7274681,0.64721656,0.6509729
0.8938206,0.8906518,0.73683953,0.73872375
0.33141816,0.33216894,0.8227332,0.82468426
0.6854392,0.68559754,0.8135153,0.8164397
0.7815187,0.7829791,0.7241838,0.72713304
0.6395455,0.64103806,0.63759565,0.6356658
0.6384334,0.6392996,0.6845855,0.6832526
0.8798846,0.8789311,0.63285404,0.63306516
0.5134898,0.51287043,0.8325087,0.8343679
0.60975105,0.6016896,0.63062817,0.6337609
0.73369884,0.73769736,0.5866647,0.58699673
0.3676291,0.3619102,0.57900816,0.578259
0.55883086,0.5620349,0.86145246,0.8619021
0.806687,0.8065003,0.8410404,0.8391465
0.6275799,0.62926257,0.57793444,0.5802346
0.5185641,0.51888746,0.89432484,0.8966086
0.8175308,0.822731,0.69390404,0.70130336
0.71014136,0.7122784,0.82756615,0.8301553
0.61800104,0.6202465,0.6450742,0.64364034
0.8056314,0.8023354,0.84785223,0.849436
0.8899773,0.8929841,0.6827738,0.6821732
0.8307004,0.8313756,0.5919989,0.5624498
0.9080352,0.9105687,0.8822457,0.88349247
0.7095094,0.70410687,0.55592394,0.5558574
0.7801253,0.7831995,0.33706486,0.33834985
0.7646758,0.7708943,0.8989068,0.8981073
0.84943026,0.8544429,0.6716122,0.6734639
0.8067025,0.80978066,0.66212004,0.665344
0.22425145,0.23105486,0.7409379,0.7412499
0.70936465,0.70666385,0.7961328,0.79404515
0.7412815,0.7433689,0.61756533,0.62442577
0.7343025,0.73922867,0.5001579,0.5018854
0.5624931,0.5656974,0.67119294,0.6579512
0.7975557,0.7967204,0.82053757,0.82132375
0.8480822,0.85219973,0.9372605,0.93854105
0.8163766,0.8154657,0.7187748,0.72258115
0.77815944,0.78061855,0.8433052,0.8438048
0.66545045,0.6593742,0.6369088,0.6441902
0.5413656,0.54124236,0.68736595,0.69050896
0.7532655,0.7508328,0.6465014,0.6449231
0.8610195,0.86620617,0.7399475,0.742402
0.8644986,0.8701054,0.8943166,0.8976871
0.87909424,0.8814554,0.83246505,0.8322514
0.51061404,0.5071329,0.68746036,0.69120306
0.8737169,0.8799093,0.7527953,0.75736177
0.7259146,0.7249227,0.9269216,0.9254181
0.51591045,0.5193226,0.6560292,0.64996123
0.7440151,0.74642736,0.54559493,0.5422568
0.7726559,0.7724612,0.79680645,0.80023175
0.8249209,0.8260743,0.61599845,0.6151104
0.7891481,0.789144,0.77078724,0.7734492
0.78368306,0.78746796,0.876037,0.87698215
0.6900948,0.6842121,0.7944412,0.79559803
0.58228135,0.581676,0.8452741,0.8453794
0.8526499,0.84499484,0.90454006,0.90257174
0.5047089,0.5018014,0.8550795,0.8553149
0.6709622,0.67580456,0.73791444,0.7349438
0.7443594,0.7439843,0.7745129,0.77755076
0.7141792,0.7158829,0.7508418,0.75186193
0.851631,0.8520108,0.66596806,0.66662955
0.89297646,0.8945482,0.80909395,0.8088054
0.73797154,0.7334846,0.7389682,0.7438749
0.49482706,0.49233484,0.68817186,0.6967338
0.5141029,0.5101554,0.8960398,0.8934826
0.57640433,0.5730659,0.68570054,0.6876267
0.6914676,0.6919072,0.5606443,0.56384474
0.60491574,0.60524476,0.84834707,0.8465618
0.8315382,0.82943034,0.5161347,0.5075288
0.9171951,0.92285585,0.6331813,0.63240635
0.84017503,0.8399581,0.6580642,0.6601895
0.6403201,0.63805765,0.65939057,0.6616152
0.746872,0.7462696,0.5535328,0.5557948
0.89507204,0.89305174,0.6722919,0.6777701
0.7114717,0.72058845,0.3304675,0.32831576
0.35928696,0.36146694,0.686549,0.68402684
0.56538886,0.5667953,0.8967171,0.8961934
0.8620298,0.8619241,0.9077722,0.9103468
0.8933126,0.89379424,0.84152156,0.841057
0.79493165,0.79556507,0.74452645,0.74364465
0.8839571,0.8877499,0.75461966,0.75512177
0.757988,0.7573328,0.6369229,0.6372941
0.8272873,0.82916266,0.79076695,0.79058427
0.63340974,0.63668126,0.54556835,0.54947734
0.83452106,0.8271604,0.51350355,0.5150862
0.722502,0.7220324,0.58810353,0.59546554
0.78054476,0.782361,0.9190696,0.9227832
0.8944762,0.89390826,0.80177915,0.79733604
0.86296296,0.86438775,0.6788966,0.6831455
0.769776,0.7736785,0.62170404,0.62194425
0.7951213,0.8002303,0.8602921,0.8630099
0.9042859,0.90622246,0.7418511,0.74357545
0.6323071,0.63340074,0.6993899,0.69372565
0.8597626,0.8648884,0.92526686,0.9281686
0.76135385,0.7629867,0.88157463,0.8804586
0.74318886,0.74507284,0.865974,0.8628315
0.87985194,0.8785586,0.3858197,0.38182095
0.74717796,0.7479726,0.7914026,0.7943556
0.27190924,0.27410394,0.91439205,0.91502255
0.87312645,0.876451,0.7688823,0.7558323
0.6658559,0.6551715,0.82234204,0.8190327
0.6774477,0.6757229,0.51841056,0.51441914
0.8648341,0.8678768,0.7911576,0.79038054
0.54459107,0.5459339,0.85553974,0.85684055
0.9346441,0.9376758,0.7384798,0.7425413
0.698856,0.70160276,0.55354357,0.5522307
0.8297788,0.8291722,0.8490749,0.84772605
0.7655316,0.76781404,0.7753699,0.7715437
0.42855126,0.42348608,0.6438307,0.6424111
0.8862605,0.88789374,0.91326225,0.9172692
0.8975188,0.89841205,0.68743795,0.6910694
0.81642056,0.8205897,0.88925445,0.8892007
0.68304944,0.6749356,0.791245,0.791672
0.83030427,0.827017,0.9338775,0.9349393
0.6007838,0.5994289,0.84200716,0.8425565
0.7713464,0.777522,0.5946989,0.6025561
0.7392056,0.7333086,0.45887834,0.45722958
0.8092805,0.81054294,0.60060084,0.60175854
0.7634163,0.76824313,0.7818403,0.78621256
0.8538454,0.85748744,0.5330067,0.5407136
0.71836597,0.7245707,0.7336678,0.73563534
0.71688056,0.7166582,0.9040264,0.90652406
0.9465333,0.9476028,0.8412395,0.8437363
0.56400466,0.56102794,0.7582325,0.7645767
0.84737325,0.84616935,0.6858537,0.6867063
0.81276774,0.81261206,0.6726519,0.6689277
0.8503531,0.85176426,0.6608409,0.6598087
0.81506705,0.8111353,0.88296425,0.88374877
0.8046176,0.8006521,0.46057156,0.46713838
0.7901255,0.78984463,0.6901709,0.6909142
0.61358976,0.6132766,0.92326224,0.9260614
0.61203414,0.61207,0.6209918,0.6329566
0.8674393,0.86656183,0.6901609,0.6955544
0.7813728,0.7750517,0.73660666,0.742748
0.88600504,0.88640946,0.8640003,0.8639001
0.8597617,0.86071676,0.8584407,0.8590216
0.35285366,0.34853303,0.6177878,0.6172372
0.65747374,0.6583875,0.6464501,0.64736485
0.8336524,0.83517563,0.85087454,0.84890485
0.7900579,0.79165524,0.6317531,0.63215375
0.58754253,0.5913676,0.65159833,0.65397966
0.93104357,0.9326823,0.54042095,0.5387393
0.59396243,0.59517497,0.5674166,0.5651268
0.72936535,0.73200905,0.75719064,0.7536453
0.36218184,0.36424446,0.9160206,0.9184644
0.37384653,0.37028658,0.91302705,0.9170587
0.8901738,0.8935089,0.7863635,0.78599757
0.8061235,0.8037051,0.53908885,0.54344994
0.6264335,0.6279309,0.8862924,0.88661844
0.7897514,0.7909906,0.847524,0.84368414
0.8668709,0.8642458,0.499011,0.4964975
0.9169084,0.9214999,0.7881143,0.7893948
0.5137394,0.51411915,0.8103544,0.8138696
0.83236057,0.8307283,0.67076343,0.67137015
0.90233207,0.9039171,0.83676505,0.8441207
0.44191885,0.44063973,0.6694145,0.6692721
0.7046646,0.70454,0.76996946,0.7702474
0.7135831,0.7150662,0.88052726,0.879308
0.86351424,0.86717623,0.7428801,0.7452821
0.57721615,0.576715,0.45802242,0.46666774
0.8667289,0.8694961,0.6091143,0.60901856
0.8613422,0.86758894,0.75284755,0.74316186
0.8731606,0.87231135,0.8708603,0.8746634
0.61263037,0.6186731,0.85624576,0.8566688
0.83950996,0.8383812,0.8466388,0.84532875
0.6342491,0.6356555,0.85783046,0.858308
0.3020074,0.30651867,0.8253612,0.8264803
0.26360863,0.2701715,0.8580082,0.861119
0.67862576,0.687964,0.86227024,0.861026
0.82101846,0.82257336,0.5151406,0.5109189
0.7996557,0.7952013,0.6235607,0.62151563
0.7563702,0.7576287,0.8927031,0.89460665
0.74458057,0.74698687,0.9191239,0.92270845
0.7817087,0.7820283,0.75470924,0.75513506
0.79971725,0.7971971,0.89601827,0.8963522
0.88472235,0.8842425,0.7856773,0.784096
0.62828714,0.6394348,0.7784364,0.784039
0.8639524,0.8632171,0.7449521,0.74420935
0.5043308,0.50715774,0.3966708,0.39802495
0.8142807,0.8152618,0.8982837,0.8957258
0.868101,0.8700778,0.91198057,0.91972125
0.5683214,0.57001907,0.52766067,0.5260377
0.6954722,0.6903205,0.76863575,0.76327
0.80851114,0.80721325,0.35991302,0.35897848
0.6010115,0.602602,0.87486243,0.875028
0.8066951,0.80421996,0.77104807,0.76871306
0.91153944,0.9136117,0.7575841,0.7572471
0.8855414,0.88936335,0.9175025,0.91770846
0.707529,0.7090129,0.50455534,0.5030931
0.8815666,0.8823165,0.69571346,0.70131433
0.81162524,0.81407905,0.6251565,0.6272401
0.59751827,0.5980034,0.2990293,0.38493252
0.636415,0.63775384,0.6036106,0.60129255
0.73032635,0.7293944,0.69191015,0.6979521
0.8184935,0.8197494,0.7542898,0.7545099
0.7747614,0.78136826,0.5336258,0.5319152
0.77172375,0.7797536,0.4604711,0.4622302
0.901672,0.9011989,0.7648377,0.7641598
0.8848371,0.89248705,0.7255,0.73757505
0.44568616,0.44735065,0.8949435,0.8953867
0.8323976,0.8298469,0.8927325,0.89267147
0.8230673,0.8218079,0.54370254,0.54316854
0.7216005,0.72078294,0.73859996,0.73950064
0.91167283,0.91512465,0.7142204,0.71591705
0.830793,0.8314758,0.78603226,0.7858915
0.6803577,0.6810046,0.8927424,0.8956653
0.84175324,0.8486649,0.7435181,0.7439019
0.6156364,0.6154246,0.7464619,0.7480338
0.71331525,0.716815,0.49755213,0.49517754
0.7540991,0.761539,0.72858405,0.7116589
0.70036066,0.7076538,0.61063874,0.61670667
0.7317668,0.728102,0.6861827,0.6857674
0.6212219,0.62131935,0.78514683,0.7871708
0.8395349,0.83975655,0.6562096,0.65504116
0.8455619,0.844466,0.84635955,0.84589225
0.79961264,0.7997199,0.76746744,0.7683875
0.68599457,0.6820737,0.8224539,0.82166654
0.82099307,0.8254207,0.74624234,0.7476766
0.28443426,0.2819841,0.67728543,0.6765336
0.86145747,0.8638412,0.88137305,0.87913835
0.4651169,0.4621212,0.7636291,0.7688167
0.8994738,0.9036271,0.72481155,0.7258644
0.66992515,0.6632343,0.7331844,0.7312875
0.4735109,0.4753607,0.8037604,0.8085684
