dev_pre,dev_label,test_pre,test_label
0.32279384,0.33750802,0.8839165,0.8836845
0.39431193,0.39585543,0.7734949,0.7751423
0.7749854,0.7716595,0.64936817,0.6522547
0.61762774,0.62377864,0.8135659,0.8121244
0.6287169,0.6289814,0.67954695,0.6776581
0.8046658,0.80405635,0.57298505,0.5759088
0.7495632,0.74876094,0.827439,0.8275881
0.67042464,0.6705136,0.72200227,0.7268084
0.75402665,0.75443786,0.53360647,0.5371943
0.75536114,0.752801,0.8054362,0.80713403
0.92510724,0.92522675,0.8363302,0.8383005
0.5118694,0.51519835,0.35917556,0.35728222
0.38999522,0.38926739,0.7300481,0.7280837
0.4772928,0.47519085,0.54097116,0.5393495
0.72165096,0.72303283,0.38497466,0.38508797
0.7588566,0.7605767,0.4797861,0.4781054
0.9222816,0.9224449,0.7027817,0.7097544
0.4804787,0.453647,0.75566816,0.7592198
0.69516206,0.6943423,0.8061203,0.80646634
0.7559665,0.75325906,0.82720065,0.8255408
0.8180072,0.8221679,0.54033184,0.5422959
0.48374748,0.4768861,0.8394398,0.83927655
0.68382967,0.72766423,0.9295846,0.9270514
0.4497246,0.44324628,0.73373306,0.7352813
0.9239677,0.92170113,0.88722897,0.8834146
0.65870833,0.66039044,0.72984886,0.73478174
0.82922304,0.83756566,0.55293834,0.55082774
0.85667074,0.85682994,0.75204915,0.75496453
0.8130863,0.81617343,0.8356483,0.83267385
0.79372585,0.79368985,0.5804902,0.5838168
0.5588551,0.5561947,0.70587647,0.70526534
0.7443936,0.74477,0.63919073,0.6360528
0.61532044,0.6176857,0.8650483,0.8606346
0.75514704,0.75438315,0.9009924,0.89970833
0.88284117,0.87778056,0.67547804,0.6794759
0.7518517,0.75309926,0.89081603,0.8878529
0.756106,0.7602084,0.86143667,0.86070484
0.76068234,0.75446135,0.66233635,0.6599539
0.5742773,0.5767682,0.8265643,0.8262516
0.8065168,0.80632627,0.731517,0.7367354
0.6362303,0.6369744,0.7737425,0.7778668
0.822,0.82136184,0.89225763,0.89254504
0.57122654,0.57868826,0.46749672,0.46431524
0.87344205,0.8739577,0.61450475,0.61288893
0.87032,0.87162954,0.79895633,0.7957355
0.74765396,0.7455554,0.70087713,0.7077467
0.9076068,0.9091262,0.7681829,0.7642941
0.89401615,0.8938126,0.906512,0.90678334
0.65520906,0.6595526,0.7150676,0.7130825
0.5867468,0.586535,0.7876991,0.7872023
0.67511064,0.68094534,0.58777547,0.5875954
0.7562252,0.75560886,0.8487896,0.845321
0.8442975,0.843179,0.778546,0.78018945
0.7176113,0.71714747,0.885929,0.8923067
0.5565641,0.5538281,0.77464634,0.77371514
0.5865692,0.58506906,0.5016003,0.51286304
0.7031561,0.70801795,0.8173187,0.81655943
0.6698167,0.66805893,0.8282808,0.8290337
0.5232899,0.5189469,0.8734578,0.87308484
0.68710315,0.685959,0.6414871,0.64096516
0.5459514,0.55325806,0.79648364,0.8005724
0.91218275,0.91102386,0.80004835,0.80086905
0.8724783,0.87220156,0.2475453,0.24630272
0.56628525,0.5674568,0.57527477,0.57979095
0.7008723,0.7003425,0.53529286,0.5368383
0.674886,0.6727441,0.68917525,0.6883925
0.5675179,0.5707979,0.8130904,0.8143267
0.62114376,0.6240132,0.7082744,0.7117231
0.76682323,0.7685435,0.8622504,0.8626089
0.8541837,0.85687524,0.47697413,0.6049312
0.8417388,0.79104984,0.9262266,0.926504
0.7857969,0.78109723,0.44894618,0.45430002
0.87265795,0.87165165,0.8324315,0.8339388
0.8685526,0.86786926,0.88942575,0.88838804
0.25871134,0.25058892,0.4574949,0.4607887
0.84089696,0.8415399,0.45190343,0.44421956
0.60517913,0.61248857,0.31159267,0.32479954
0.8695512,0.86831903,0.62550664,0.62506926
0.7179185,0.72115433,0.49684706,0.63643503
0.92171484,0.9176319,0.90477407,0.90503883
0.46512926,0.46497816,0.8104059,0.8085323
0.63254726,0.6291158,0.62048364,0.6230478
0.91691864,0.91118395,0.5467582,0.5471277
0.68809474,0.68297035,0.3541563,0.35300425
0.44975674,0.45558405,0.8531546,0.85830456
0.8024127,0.80564725,0.60379297,0.6023608
0.896019,0.89628893,0.7893288,0.7878733
0.46423107,0.45811534,0.7851469,0.78355193
0.5621543,0.56526375,0.8352805,0.8351675
0.88981086,0.88830817,0.78364706,0.7808274
0.80067444,0.7993133,0.8718988,0.86760074
0.7367648,0.7367535,0.7868835,0.7893947
0.668084,0.6718487,0.88563365,0.8852319
0.70572436,0.70728695,0.8398347,0.83930504
0.80739844,0.81063384,0.51543665,0.51863647
0.57457256,0.5774339,0.79914474,0.79789644
0.77449214,0.78149325,0.7749956,0.77668077
0.80692935,0.80914253,0.88429064,0.8818675
0.649583,0.6496743,0.80738056,0.80790037
0.7705062,0.76583105,0.5929635,0.59123147
0.76835597,0.76731086,0.6113482,0.611572
0.5997415,0.6019987,0.83734065,0.8345727
0.81660783,0.81564295,0.6553551,0.6537013
0.8205695,0.8199629,0.85137165,0.84041977
0.92857766,0.9266394,0.82108605,0.82250684
0.8344184,0.8313821,0.8221867,0.82272995
0.84779906,0.8485883,0.82154465,0.87102777
0.80925936,0.80512303,0.5078584,0.50997055
0.8653051,0.86795473,0.90546453,0.9022311
0.31500873,0.3172195,0.8379588,0.8392306
0.921018,0.91623306,0.85825217,0.8598644
0.8512632,0.8493726,0.42057747,0.42211
0.87207484,0.86871237,0.8372743,0.82975006
0.6000469,0.5974444,0.82137096,0.8174853
0.6386118,0.6369526,0.7209821,0.7189755
0.77544403,0.7718756,0.8453438,0.84214073
0.8787731,0.87567437,0.6945609,0.6977639
0.73355925,0.7367542,0.5549175,0.5639544
0.54597276,0.54325604,0.50880694,0.5094117
0.690009,0.69649863,0.62596476,0.6241047
0.656763,0.6570589,0.8592888,0.8591463
0.7458441,0.74366254,0.6925017,0.6962959
0.46405178,0.46621767,0.6262241,0.6262913
0.56243664,0.5617084,0.8407882,0.8427298
0.7117665,0.7108669,0.69860274,0.6997109
0.59720623,0.59760094,0.7948365,0.79411715
0.6666154,0.6653836,0.52836543,0.524595
0.9419731,0.943626,0.8053267,0.80854565
0.7181499,0.7191737,0.6697066,0.6699783
0.84147906,0.84439874,0.6521355,0.66148996
0.65870285,0.65820545,0.85110795,0.85115427
0.83090794,0.8377855,0.83023715,0.8323622
0.5561691,0.5577687,0.81395745,0.81412846
0.6523439,0.6498717,0.80602205,0.8070048
0.84272015,0.8389802,0.776021,0.7737158
0.72925216,0.7267876,0.7690692,0.7760036
0.55392385,0.5568495,0.6124073,0.60808
0.78415406,0.7805239,0.726326,0.7315933
0.6429169,0.64118546,0.696367,0.696903
0.88432884,0.8838376,0.669422,0.6664827
0.78691006,0.7852785,0.82316685,0.82508045
0.66582847,0.66335684,0.8172572,0.8187421
0.70071614,0.69880646,0.90085864,0.8942662
0.7414141,0.7450161,0.90210927,0.8948498
0.6060512,0.6131383,0.54593635,0.5454355
0.8663912,0.87205523,0.740113,0.7451187
0.5149485,0.5134878,0.9232013,0.92182845
0.70000607,0.6979008,0.86862075,0.8739699
0.7738415,0.77264464,0.7421424,0.7399054
0.6770698,0.6779374,0.6452049,0.6538104
0.8416766,0.84065497,0.7991123,0.7995935
0.577962,0.5683051,0.66620743,0.6678416
0.79289913,0.7922098,0.7489912,0.7511967
0.834975,0.83542705,0.7294389,0.7267333
0.84366155,0.8414882,0.8713269,0.871522
0.4442114,0.44629496,0.7326294,0.734927
0.86982065,0.8767784,0.4570832,0.4524675
0.90615,0.9039089,0.83859473,0.8276329
0.88761514,0.88614243,0.61774045,0.6164439
0.8863134,0.88549185,0.86755764,0.8686535
0.78822875,0.78305054,0.7342308,0.7366499
0.39591476,0.39553162,0.61870635,0.6151534
0.6156007,0.6172403,0.48492423,0.49108568
0.6490118,0.6499791,0.617995,0.6171763
0.8535605,0.8448961,0.70727634,0.71276206
0.8140652,0.81174,0.64174885,0.6434381
0.767281,0.7755017,0.9305272,0.92661804
0.81743634,0.8183334,0.84461397,0.84257853
0.8565055,0.86147445,0.7890614,0.7883355
0.81148285,0.809848,0.65242034,0.6557434
0.28734487,0.3086033,0.8138828,0.81422687
0.7412967,0.73856056,0.53391767,0.52989984
0.7641215,0.7711114,0.83438027,0.8349963
0.8150231,0.8181383,0.6767878,0.6780057
0.84490955,0.84338593,0.61969495,0.62121487
0.6576387,0.6600858,0.8653743,0.86829495
0.8026198,0.8000889,0.63971734,0.6386613
0.6021402,0.60669523,0.8550192,0.8557533
0.8853452,0.88338757,0.7720717,0.77061987
0.8716203,0.8713016,0.54063505,0.5306231
0.6030607,0.6012522,0.44008037,0.44153672
0.3948809,0.3976167,0.6606207,0.6592369
0.90712917,0.9053327,0.7343389,0.73727787
0.8818994,0.8801242,0.5714963,0.5719145
0.9066847,0.8976931,0.8987055,0.89877534
0.7870333,0.78454185,0.6854172,0.6849431
0.7109302,0.70419186,0.8521582,0.8477538
0.9000188,0.89937025,0.8224011,0.82255125
0.63904166,0.64365655,0.86814046,0.86631775
0.5863345,0.59200484,0.7513577,0.74651474
0.5649563,0.56502086,0.77486455,0.7721366
0.63894963,0.6480734,0.8183955,0.81155396
0.32425982,0.32662228,0.8932105,0.8932996
0.85396683,0.85166407,0.7030153,0.70816976
0.85684115,0.85514784,0.71226406,0.71465075
0.403372,0.4112628,0.8655163,0.86814344
0.92803043,0.9258171,0.66790926,0.6681412
0.30775014,0.3131621,0.8762642,0.87465173
0.66296756,0.6614113,0.6367005,0.63566315
0.6967009,0.70402294,0.76492023,0.7648802
0.6515202,0.6589474,0.6202801,0.626099
0.56065404,0.560442,0.9292282,0.9240888
0.5021058,0.5040152,0.6922389,0.6912624
0.7533738,0.75089306,0.8069989,0.8093446
0.9110186,0.90698093,0.9060581,0.90381444
0.88811886,0.88804626,0.6232641,0.62322426
0.5057839,0.5055607,0.79968596,0.8032786
0.8055989,0.80420685,0.8544805,0.8529927
0.659333,0.662154,0.2507133,0.25199395
0.9287462,0.9270108,0.8858733,0.88114315
0.6560634,0.65481925,0.8941713,0.89333963
0.32942793,0.32498175,0.8629513,0.8598931
0.7897403,0.7913718,0.45360184,0.44878852
0.848834,0.8470944,0.8567914,0.8561408
0.86543643,0.8648531,0.41757876,0.42408141
0.8191066,0.8217147,0.76869816,0.766356
0.8497873,0.8464162,0.875394,0.87497437
0.50122446,0.5026018,0.79221284,0.78887266
0.72391826,0.7274681,0.651986,0.6509729
0.8933233,0.8906518,0.7315053,0.73872375
0.3293032,0.33216894,0.826766,0.82468426
0.6876174,0.68559754,0.8154186,0.8164397
0.78429353,0.7829791,0.7290365,0.72713304
0.64106005,0.64103806,0.6320752,0.6356658
0.6314778,0.6392996,0.68376803,0.6832526
0.881408,0.8789311,0.638312,0.63306516
0.51364386,0.51287043,0.8362783,0.8343679
0.59711945,0.6016896,0.6242951,0.6337609
0.7326232,0.73769736,0.5835935,0.58699673
0.35995102,0.3619102,0.5815891,0.578259
0.5632425,0.5620349,0.86256015,0.8619021
0.8056704,0.8065003,0.84224427,0.8391465
0.6316961,0.62926257,0.5816609,0.5802346
0.5176755,0.51888746,0.8955639,0.8966086
0.82391626,0.822731,0.6981515,0.70130336
0.7135464,0.7122784,0.8297019,0.8301553
0.61572087,0.6202465,0.64801896,0.64364034
0.80545753,0.8023354,0.8474139,0.849436
0.8913355,0.8929841,0.68128026,0.6821732
0.82896024,0.8313756,0.5624122,0.5624498
0.91425025,0.9105687,0.8834369,0.88349247
0.7102729,0.70410687,0.552232,0.5558574
0.784093,0.7831995,0.3395254,0.33834985
0.7699333,0.7708943,0.9013662,0.8981073
0.85210526,0.8544429,0.660703,0.6734639
0.80493176,0.80978066,0.66957366,0.665344
0.21160421,0.23105486,0.7410531,0.7412499
0.711196,0.70666385,0.7951107,0.79404515
0.74400723,0.7433689,0.61063844,0.62442577
0.735828,0.73922867,0.5029913,0.5018854
0.5691678,0.5656974,0.65941095,0.6579512
0.7969865,0.7967204,0.8139384,0.82132375
