dev_pre,dev_label,test_pre,test_label
441.29984,441.16238,350.65698,350.9523
417.8695,418.15625,454.34924,454.13626
389.19006,389.05038,329.43912,328.97772
274.18826,274.01788,283.2826,283.21475
297.1716,297.0936,365.23285,365.22156
384.22076,384.11438,361.0302,361.03134
429.72952,430.07043,239.23244,239.06161
328.0499,328.03516,430.15768,430.16748
394.13718,394.1044,333.8642,334.03168
437.3347,437.18854,318.15173,318.17435
398.03635,398.13098,241.32474,241.1215
489.99405,490.15625,265.3853,265.1478
386.77798,387.0041,368.0107,368.11032
367.13702,367.18085,330.10034,330.10382
307.28116,307.1184,390.17365,390.24197
300.15118,300.13977,470.0368,470.1431
237.25081,237.2205,432.55475,432.93863
291.20963,291.10416,278.32693,278.1419
404.29562,404.23245,456.26895,456.25253
441.40875,441.11807,351.3345,351.1107
389.8054,390.12833,433.42264,434.0412
398.28308,397.93945,407.30685,407.03967
379.27472,379.1896,399.24652,399.1462
311.24878,311.1634,479.76694,480.18314
274.15247,274.07358,220.16037,220.10342
366.95514,367.09253,276.41635,276.12964
484.82544,485.23483,306.1024,306.1328
475.80795,476.2311,418.43903,418.2481
336.3,336.1474,371.40665,371.17798
333.26007,333.14957,309.25082,309.1226
416.0981,416.0775,235.27449,235.12964
428.30652,428.1303,421.06824,421.1081
361.232,361.14603,390.04913,390.17908
475.75073,476.10422,284.22562,284.15247
352.06854,352.1457,290.24734,290.12262
389.20187,389.2467,466.30014,466.24677
339.21246,339.23105,353.2921,353.06265
324.19836,324.111,405.25894,405.20523
344.24704,344.16708,385.93365,386.15115
409.8321,410.10672,344.91083,345.06464
261.30338,261.17288,423.6244,424.00925
313.1348,313.17902,441.48984,441.13678
425.16983,425.10455,366.22504,366.1692
484.61252,485.06345,456.09677,456.1023
285.26532,285.2304,350.27933,350.13544
310.29773,310.13174,373.01184,373.09186
390.1089,390.0508,203.21614,203.10587
350.36533,350.19943,432.8403,433.10223
334.11652,334.00653,498.1367,498.14606
268.3422,268.08817,332.25327,332.09726
484.56012,485.16544,384.27698,384.2049
466.9935,467.18787,419.98764,420.10883
393.15118,393.15762,304.20404,304.08817
327.21585,327.06775,396.30753,396.15863
375.40674,375.16953,336.2044,336.17975
467.04837,467.14026,335.25354,335.07285
386.16223,386.10333,209.426,209.0688
337.08475,337.19772,363.14835,362.9057
