dev_pre,dev_label,test_pre,test_label
441.25653,441.16238,351.8901,350.9523
418.88428,418.15625,454.0501,454.13626
389.49042,389.05038,330.2628,328.97772
274.06912,274.01788,283.18756,283.21475
297.77728,297.0936,365.4813,365.22156
383.6283,384.11438,360.43134,361.03134
431.97812,430.07043,239.29053,239.06161
328.4743,328.03516,431.13876,430.16748
394.84302,394.1044,333.85547,334.03168
437.398,437.18854,318.2272,318.17435
398.7061,398.13098,241.40965,241.1215
490.3119,490.15625,264.98077,265.1478
385.7847,387.0041,368.734,368.11032
367.11868,367.18085,330.1312,330.10382
307.14783,307.1184,390.15936,390.24197
300.22775,300.13977,470.37024,470.1431
237.90512,237.2205,433.0722,432.93863
291.691,291.10416,277.4875,278.1419
404.04556,404.23245,455.84717,456.25253
441.29758,441.11807,351.26056,351.1107
390.5175,390.12833,433.03262,434.0412
398.63672,397.93945,407.0985,407.03967
379.19366,379.1896,399.4085,399.1462
311.0324,311.1634,479.4423,480.18314
273.9632,274.07358,219.29083,220.10342
367.91086,367.09253,276.16516,276.12964
484.93637,485.23483,306.19095,306.1328
476.11694,476.2311,417.97656,418.2481
336.4523,336.1474,372.4182,371.17798
333.43524,333.14957,309.14328,309.1226
416.34497,416.0775,235.06001,235.12964
428.64404,428.1303,421.4133,421.1081
361.67163,361.14603,390.60223,390.17908
476.48434,476.10422,283.4083,284.15247
352.06454,352.1457,289.77908,290.12262
389.24783,389.2467,466.25293,466.24677
339.3044,339.23105,352.75787,353.06265
323.81375,324.111,404.97992,405.20523
344.6989,344.16708,386.28363,386.15115
410.75797,410.10672,344.9937,345.06464
261.03275,261.17288,423.34784,424.00925
313.23953,313.17902,441.33868,441.13678
424.6828,425.10455,366.17197,366.1692
487.37582,485.06345,456.79373,456.1023
284.98227,285.2304,350.50677,350.13544
310.20792,310.13174,374.7476,373.09186
392.2768,390.0508,202.46011,203.10587
350.33887,350.19943,432.27713,433.10223
333.66708,334.00653,499.25293,498.14606
268.39432,268.08817,332.40274,332.09726
485.72858,485.16544,384.36716,384.2049
467.06863,467.18787,420.7525,420.10883
393.4048,393.15762,304.52286,304.08817
328.0398,327.06775,395.47568,396.15863
374.85016,375.16953,336.45898,336.17975
467.32913,467.14026,335.87247,335.07285
386.3763,386.10333,208.88025,209.0688
337.5696,337.19772,363.73087,362.9057
459.524,459.16818,352.41592,353.0851
437.5073,437.0812,357.65076,356.07654
416.81677,417.1437,342.2814,342.10382
304.99542,305.21436,271.07874,272.0797
321.19363,321.12012,294.04257,294.1328
477.99362,478.24677,409.20694,409.18893
337.24768,337.19025,476.04263,476.2311
356.2496,356.14847,450.40906,450.06857
402.04996,402.0998,442.5678,442.11984
381.29974,381.21646,315.31702,315.23105
372.2416,372.2512,424.15613,424.2362
413.0963,414.0215,468.23413,468.22604
306.37042,306.1135,345.49652,345.11472
249.5956,249.09358,325.7521,326.1015
327.175,327.1583,323.184,323.09915
262.11343,262.08728,282.63638,283.16443
298.98038,299.09464,483.04813,483.21582
368.4081,368.14847,303.24396,303.09024
364.77716,365.18518,335.9585,336.0085
397.64563,397.1824,344.07858,344.08307
335.16727,335.1634,284.2862,285.15897
376.43607,376.15536,451.72125,451.12018
308.02426,308.14847,239.35995,240.18378
393.4112,393.07678,352.43433,352.18207
463.7316,464.21338,357.75717,358.14297
368.9215,369.1601,281.88602,282.10382
473.71848,474.17908,341.00497,340.0994
424.57462,424.1933,259.9506,260.09094
359.424,358.95203,379.78214,380.11948
288.7834,289.05618,365.70032,365.13104
305.19714,305.17395,286.76883,287.1634
259.11053,259.1045,318.34958,318.19434
285.95947,286.16812,374.50986,374.19675
336.8738,337.15387,445.94324,445.15726
376.21347,376.2838,311.39462,311.15213
307.3127,307.20084,326.2233,326.19943
398.41748,398.09702,391.51694,391.21475
438.61145,438.1903,422.03723,422.02997
227.79074,227.0713,356.19464,356.14847
418.07568,418.15286,383.67368,384.2049
416.32867,416.2311,285.80676,286.123
293.80267,294.05646,234.23618,234.12291
306.23712,306.19434,319.76053,319.1031
403.3419,403.98303,499.7177,499.1777
277.9865,278.1743,402.85764,403.1566
346.38928,346.22565,354.25754,353.0449
216.83621,217.14667,323.31567,323.12814
234.08835,235.15723,326.36774,326.1664
474.57675,474.13956,415.09027,414.03757
262.71817,264.18378,327.44058,327.08868
317.39966,317.0976,300.29242,301.02484
343.86884,342.98776,330.26886,330.13797
239.7892,240.12627,495.69162,494.1566
411.7933,412.10593,293.21396,293.18518
403.9224,404.22122,378.936,379.22598
425.0982,424.08597,439.97354,437.99335
342.35776,342.1692,207.11899,207.03073
373.39053,374.06415,316.43732,316.15353
332.3434,332.18484,413.37115,413.16992
340.1252,340.17868,336.57935,337.1314
349.22345,349.22665,379.0122,379.19296
380.66196,380.08646,352.33987,352.22632
405.98575,406.18274,412.19504,412.2122
409.9735,410.13004,274.4931,275.18854
349.84946,350.16306,328.17554,328.1899
375.75146,375.07858,358.90198,359.1634
480.13467,480.22604,335.7872,334.08096
317.00693,317.12766,344.42255,344.18484
228.22961,228.18378,392.5843,392.19473
339.30878,339.16165,331.97247,332.11948
359.5784,359.1306,395.98547,395.1416
420.50513,419.00528,396.8984,396.15076
442.702,443.1515,351.268,351.1583
477.75937,478.2104,328.4289,328.1899
403.13113,403.1332,490.4744,490.12418
339.25055,339.16953,404.4207,403.10245
489.65048,487.03064,339.88373,340.18207
241.45732,241.07727,425.26688,425.23145
342.82642,342.11505,425.84692,426.1151
459.963,459.11185,234.61557,234.11168
390.06204,390.2168,373.94666,374.16306
249.05342,249.08012,351.1054,350.08713
282.65268,283.13208,335.2217,335.09915
426.19513,426.25186,213.83174,214.0776
437.48712,437.10638,477.7537,477.17224
397.68616,397.20352,361.1442,361.14264
417.488,417.12555,273.09915,274.13174
277.29935,278.21066,345.21622,344.1307
337.36075,337.16376,361.47763,361.25293
327.13293,327.14053,444.3252,444.17975
390.27216,390.19772,404.74002,403.13882
316.133,316.13577,411.56863,411.19806
438.34512,439.04193,368.6424,367.07574
331.22134,331.06024,486.13657,486.2366
345.6443,345.0914,487.3935,487.1777
493.1832,493.20352,396.99686,397.17502
310.8642,310.18274,444.46545,444.13684
302.9846,303.1583,232.045,232.0848
488.43137,488.1188,344.34064,344.16708
360.88498,360.1256,334.50403,334.1715
327.2982,327.16165,399.48203,399.1462
374.9334,375.16953,253.33524,253.08696
464.45978,464.2311,466.88116,466.06326
486.26773,486.15732,303.15607,303.19467
382.1491,382.18927,451.6582,451.99677
