dev_pre,dev_label,test_pre,test_label
440.8817,441.16238,351.76352,350.9523
418.09253,418.15625,454.07675,454.13626
389.58878,389.05038,329.78375,328.97772
274.33853,274.01788,282.86105,283.21475
297.14694,297.0936,365.2135,365.22156
384.27945,384.11438,361.48972,361.03134
430.27628,430.07043,239.07071,239.06161
328.1643,328.03516,429.7548,430.16748
394.5126,394.1044,334.08493,334.03168
436.62155,437.18854,318.3543,318.17435
398.05685,398.13098,240.83243,241.1215
490.61154,490.15625,265.12634,265.1478
387.6194,387.0041,368.23395,368.11032
367.38943,367.18085,330.28122,330.10382
307.12146,307.1184,390.2967,390.24197
300.18427,300.13977,470.19528,470.1431
236.03813,237.2205,433.1331,432.93863
291.20752,291.10416,278.19397,278.1419
404.3743,404.23245,456.25333,456.25253
440.9597,441.11807,351.50415,351.1107
390.28873,390.12833,434.3458,434.0412
399.0727,397.93945,407.14395,407.03967
379.5657,379.1896,399.38074,399.1462
311.07648,311.1634,480.3061,480.18314
274.4236,274.07358,219.34247,220.10342
367.2501,367.09253,275.9767,276.12964
485.67236,485.23483,306.2573,306.1328
476.45273,476.2311,417.8589,418.2481
336.369,336.1474,371.4069,371.17798
333.2743,333.14957,309.22433,309.1226
416.2669,416.0775,234.71281,235.12964
427.87183,428.1303,421.028,421.1081
361.4006,361.14603,390.27435,390.17908
476.28604,476.10422,283.84467,284.15247
352.25085,352.1457,289.85703,290.12262
389.39328,389.2467,466.307,466.24677
338.65173,339.23105,353.65134,353.06265
324.54205,324.111,405.20853,405.20523
344.15268,344.16708,386.21576,386.15115
410.08585,410.10672,345.1253,345.06464
261.1848,261.17288,423.9298,424.00925
312.8654,313.17902,441.33752,441.13678
425.09915,425.10455,366.31058,366.1692
486.61954,485.06345,456.70972,456.1023
285.03983,285.2304,350.4925,350.13544
310.22626,310.13174,374.13586,373.09186
390.85538,390.0508,202.44775,203.10587
350.56775,350.19943,432.89886,433.10223
334.11444,334.00653,499.13367,498.14606
268.0749,268.08817,332.25192,332.09726
485.66537,485.16544,384.52386,384.2049
467.58728,467.18787,419.96613,420.10883
393.58658,393.15762,304.21283,304.08817
327.70325,327.06775,396.18274,396.15863
375.61664,375.16953,336.26685,336.17975
467.5453,467.14026,335.48392,335.07285
386.39813,386.10333,209.01459,209.0688
337.0974,337.19772,363.40518,362.9057
459.0284,459.16818,353.1407,353.0851
437.23682,437.0812,356.91388,356.07654
416.9141,417.1437,342.22388,342.10382
304.9289,305.21436,272.1473,272.0797
320.90335,321.12012,294.15228,294.1328
478.22845,478.24677,409.33438,409.18893
337.35263,337.19025,476.35995,476.2311
356.45483,356.14847,450.45306,450.06857
402.3116,402.0998,442.54422,442.11984
381.58197,381.21646,315.4422,315.23105
372.60507,372.2512,424.1257,424.2362
414.05548,414.0215,468.22726,468.22604
306.61234,306.1135,345.55197,345.11472
249.05936,249.09358,326.4162,326.1015
327.0835,327.1583,323.0403,323.09915
261.99457,262.08728,283.2621,283.16443
299.1922,299.09464,483.61832,483.21582
368.22525,368.14847,302.757,303.09024
365.06534,365.18518,335.90305,336.0085
397.06152,397.1824,344.30814,344.08307
335.63953,335.1634,285.0409,285.15897
376.6648,376.15536,451.72174,451.12018
308.0379,308.14847,240.0665,240.18378
393.6034,393.07678,352.2815,352.18207
464.4639,464.21338,358.47452,358.14297
369.04785,369.1601,282.1079,282.10382
474.3264,474.17908,340.49423,340.0994
424.11237,424.1933,260.23566,260.09094
360.44028,358.95203,380.38864,380.11948
289.32156,289.05618,365.55234,365.13104
305.248,305.17395,287.33398,287.1634
259.0674,259.1045,318.23032,318.19434
285.75006,286.16812,374.09164,374.19675
337.3145,337.15387,445.11987,445.15726
376.24487,376.2838,311.18018,311.15213
307.0516,307.20084,326.08792,326.19943
398.20004,398.09702,390.7395,391.21475
438.3119,438.1903,422.61557,422.02997
226.78958,227.0713,356.47226,356.14847
417.82617,418.15286,384.67953,384.2049
415.75516,416.2311,285.9652,286.123
294.12924,294.05646,234.34058,234.12291
306.03345,306.19434,319.46896,319.1031
404.82373,403.98303,500.0897,499.1777
278.12735,278.1743,403.19223,403.1566
346.25632,346.22565,353.84027,353.0449
216.9789,217.14667,323.14694,323.12814
234.75002,235.15723,326.15628,326.1664
474.74713,474.13956,413.64365,414.03757
264.19772,264.18378,327.04126,327.08868
317.20276,317.0976,300.50897,301.02484
343.61206,342.98776,330.17368,330.13797
240.08337,240.12627,494.79556,494.1566
412.16602,412.10593,293.11307,293.18518
404.48862,404.22122,379.62845,379.22598
423.8881,424.08597,438.21286,437.99335
342.27133,342.1692,207.31444,207.03073
373.9515,374.06415,316.14505,316.15353
332.20834,332.18484,413.055,413.16992
340.31476,340.17868,337.12756,337.1314
348.7351,349.22665,379.3736,379.19296
380.09464,380.08646,352.33752,352.22632
406.3501,406.18274,411.9069,412.2122
410.0765,410.13004,275.23602,275.18854
350.57257,350.16306,328.17062,328.1899
375.2101,375.07858,359.52728,359.1634
480.4315,480.22604,334.884,334.08096
316.93332,317.12766,344.43445,344.18484
228.05273,228.18378,392.3226,392.19473
339.25165,339.16165,332.03488,332.11948
359.33936,359.1306,395.60764,395.1416
419.62778,419.00528,396.4253,396.15076
443.4692,443.1515,351.43018,351.1583
478.61295,478.2104,328.52444,328.1899
403.0319,403.1332,490.67303,490.12418
339.2746,339.16953,403.19217,403.10245
489.12143,487.03064,340.2032,340.18207
241.50267,241.07727,425.3445,425.23145
342.6384,342.11505,426.19205,426.1151
459.95868,459.11185,234.0369,234.11168
390.27237,390.2168,374.6311,374.16306
249.1174,249.08012,350.6264,350.08713
283.22653,283.13208,335.16644,335.09915
426.08707,426.25186,213.9967,214.0776
436.92694,437.10638,477.3415,477.17224
397.14597,397.20352,361.42636,361.14264
416.97583,417.12555,274.20123,274.13174
278.02417,278.21066,344.47214,344.1307
337.2106,337.16376,361.17615,361.25293
326.8438,327.14053,443.87723,444.17975
390.41214,390.19772,403.33218,403.13882
315.88547,316.13577,410.94867,411.19806
439.1112,439.04193,367.6917,367.07574
330.99716,331.06024,486.4524,486.2366
345.47104,345.0914,487.7873,487.1777
493.94495,493.20352,397.67102,397.17502
310.60614,310.18274,443.88348,444.13684
303.1596,303.1583,232.39157,232.0848
489.25894,488.1188,343.9012,344.16708
360.55795,360.1256,334.12726,334.1715
327.19028,327.16165,399.3335,399.1462
375.35904,375.16953,253.05098,253.08696
464.49738,464.2311,466.53812,466.06326
486.3068,486.15732,303.29977,303.19467
382.49548,382.18927,451.72882,451.99677
340.21094,340.1899,357.30093,357.24164
233.15047,233.16405,267.89883,267.93713
310.8655,311.23615,249.41748,249.14772
381.27112,381.25287,478.3934,478.24677
287.00366,287.1382,368.1587,368.08646
310.482,310.08884,211.42317,212.15248
433.05057,433.22263,352.6751,352.1899
286.08945,286.13174,322.30984,322.03564
270.72433,271.15723,355.19867,355.14627
323.0229,323.17462,337.36002,337.13458
390.42303,390.21548,373.682,373.05396
331.0842,331.102,282.99915,283.1532
261.16693,261.1841,415.10104,415.2042
307.97977,308.09094,349.4685,349.20755
240.70377,241.24057,377.47162,377.0698
372.73944,372.1256,384.41156,384.1256
344.9403,345.20523,379.28375,379.14627
432.32138,432.11774,438.0573,438.21548
421.08105,421.19363,447.32272,447.0575
240.25125,242.11859,306.4729,306.0899
469.43112,469.16714,371.11462,371.18585
353.02872,353.07217,396.1967,396.11438
441.19107,441.17224,296.06918,296.1637
443.3344,443.21304,380.03522,380.0943
372.14792,372.18716,446.17474,446.0791
379.15613,379.14783,352.28333,352.18207
477.85873,477.26276,433.0588,433.27292
372.21332,372.0805,461.479,461.17847
265.1284,265.00613,349.5054,349.02878
318.14368,318.23074,463.6752,463.10245
258.2595,258.18445,384.99387,385.21655
371.8062,371.06497,422.09787,422.25696
358.0565,358.17264,316.20752,316.15353
299.97815,300.07217,320.6112,321.03644
350.4764,350.1518,366.42383,366.0805
334.20386,334.1715,286.36902,286.16812
338.60577,338.18417,349.57666,349.18893
350.2093,350.1743,425.77243,426.13617
275.0846,275.15213,308.05392,308.07318
394.55396,394.17532,459.61066,459.11163
387.7821,387.18344,229.88889,230.15315
359.56207,359.23212,402.93597,403.16443
348.45032,348.11194,276.04404,276.0391
455.5531,455.12817,399.99622,399.16165
237.07176,237.11134,300.73154,301.19025
315.0282,315.12192,467.26715,467.209
429.7335,430.19263,246.20819,246.17322
377.60486,377.1773,200.7859,201.04596
381.4733,381.21646,358.7933,358.08328
278.12643,278.16306,296.09335,296.10733
290.3692,290.14865,384.77066,384.11438
371.56442,371.1151,402.38266,402.2631
425.25012,425.12317,486.21417,483.95923
216.72748,217.1215,327.22324,327.2059
347.5318,347.10928,333.25375,333.0936
379.52847,379.16443,359.63077,359.1149
293.40598,293.04547,420.7925,420.0433
391.55237,390.98776,397.3343,397.08203
391.27695,391.12,331.02267,331.2372
272.93665,273.17288,246.51248,247.14331
485.70526,485.17328,448.06354,448.13693
288.92966,289.17902,291.04443,291.19467
395.08945,395.17328,360.01773,359.1845
367.0705,367.16443,274.19296,274.11176
238.27216,238.14377,336.07162,336.20624
382.1914,382.2005,330.56537,330.10382
297.1055,297.14774,331.2021,331.16443
270.15054,270.14807,395.3935,395.12814
304.12738,304.0437,358.45035,358.0922
326.48233,326.13788,445.86462,446.18887
434.96222,435.13834,394.9196,395.22427
416.7084,417.14706,367.20752,367.0836
373.32608,373.20016,485.69183,485.1443
340.34064,340.15692,340.3016,340.13577
417.98102,418.16748,286.1641,286.2409
318.0918,318.23074,493.89023,493.04022
288.31866,288.1474,337.09088,337.11365
271.2295,271.07977,457.53293,457.16714
346.02533,346.03506,337.08328,337.15726
329.04123,329.18518,435.92264,436.1457
344.3053,344.09277,367.1156,367.1532
323.5543,324.21008,347.22272,347.13037
214.80206,214.9746,415.9425,416.0663
386.6282,386.10333,322.472,322.0446
220.80954,221.08743,297.37042,297.11874
466.2959,466.2104,348.4407,348.08768
456.60718,456.129,417.898,418.10995
337.13785,337.14264,289.1913,289.1049
368.40347,368.11948,231.94084,232.01701
360.18158,360.23862,305.0387,305.1198
350.44128,350.16306,427.22327,427.04272
382.21527,382.14163,441.8912,442.20233
320.71335,321.19116,360.18524,360.09708
299.24948,299.211,446.38318,446.15903
348.60208,348.16852,303.2052,303.1154
369.57437,369.174,452.11105,452.16306
372.66965,372.1717,338.0596,338.1049
331.16418,331.2372,424.94565,425.14746
288.98322,289.15387,451.50824,451.13144
343.48517,343.03937,342.26312,342.04166
395.51227,396.20624,359.3057,359.11914
372.1332,372.1256,461.19733,461.17508
454.1691,454.05618,486.53238,486.18787
348.57202,348.133,364.33228,364.15353
482.35297,481.1059,308.57507,308.0844
423.85117,424.19983,335.9992,336.17502
253.95924,254.15315,199.95328,200.09496
339.42413,339.12506,389.50854,389.06815
261.15594,261.08234,473.2973,473.0474
427.18317,430.229,291.7693,292.10233
298.1189,298.09872,393.449,393.1437
346.28348,346.22565,432.98535,433.20352
353.56335,353.1506,420.8502,421.2114
320.0459,320.21,272.00394,272.1347
316.27615,316.13873,360.05627,360.1297
368.1565,368.15363,299.8658,300.08768
369.4403,369.16232,351.90527,351.07114
353.5308,353.17395,315.15497,315.16953
435.2334,435.17697,497.53662,496.12234
462.2213,462.2894,368.15765,368.1637
311.90015,312.14087,399.2594,399.26343
397.71103,397.10962,235.24274,235.13208
273.0328,273.11652,369.04163,369.1035
425.82202,426.15796,322.06665,322.05582
385.6517,385.10626,359.68893,359.00363
363.3652,363.17136,415.87735,416.1761
288.24838,288.0414,409.2633,409.12604
362.54883,362.15982,389.3936,389.16003
365.97424,366.15143,442.28174,442.16748
401.14563,401.07556,428.88324,429.18008
355.26938,355.1532,305.8186,306.1402
314.3476,314.10666,378.60776,378.1328
375.15115,375.1282,418.99048,419.16675
358.35513,358.16928,432.77722,433.20016
301.1892,301.14264,397.3029,397.15726
332.16837,332.13477,377.47604,377.10617
372.53564,372.11438,263.15735,263.17462
351.37476,351.1583,447.4126,447.22705
433.43097,433.12268,292.17422,292.1212
345.30917,345.07678,328.08368,328.1899
392.42374,392.10422,443.88846,444.17438
349.36005,349.1314,380.4464,380.19116
426.74573,426.0579,350.4782,350.1543
426.8543,427.22598,380.2138,380.1206
367.4055,367.14197,367.19388,367.13794
266.0188,266.12665,298.1344,298.13174
302.19522,302.19943,386.11792,386.19943
355.82547,355.1752,482.4505,482.1642
396.88553,397.0167,344.15964,344.11948
472.30853,472.18097,409.2334,409.10718
468.76538,468.1719,369.15146,369.18008
350.6057,350.1863,359.31497,359.03983
397.0864,397.08786,442.11148,442.2005
332.0676,332.16486,476.29736,476.2311
368.3777,368.12848,390.41974,389.9844
283.92776,284.11725,373.38644,373.14603
328.5359,328.17218,447.42648,447.09225
407.98013,408.13977,421.47134,418.92285
384.44067,384.15863,356.34543,356.19
418.015,418.19263,380.09012,380.23877
424.3433,424.19983,345.532,345.11472
342.85574,343.206,343.33908,343.1896
394.3925,394.2481,206.21703,207.10817
350.70706,350.21066,326.12308,326.06512
332.25464,332.11948,416.0263,416.15182
308.36633,308.15363,315.33258,315.0599
251.21999,251.06161,276.03827,276.03687
366.19495,365.12094,360.52512,360.04993
296.93192,297.15897,386.384,386.1242
328.21313,328.1423,434.7347,435.1507
307.93576,308.2009,289.1093,289.11365
287.4518,287.19977,308.9752,309.1365
247.3345,247.1606,374.13602,374.25696
301.42776,301.12488,329.22308,329.18518
205.74802,206.1783,444.24176,444.19098
407.47974,407.2209,366.2851,366.01743
373.3294,373.06924,313.0821,313.07303
270.38217,270.13684,325.23468,325.2042
386.56586,386.10333,289.83875,290.05884
499.56296,499.18558,397.0459,397.03778
328.07382,328.20117,321.96735,322.06235
298.2503,298.16812,381.59793,381.16885
418.31476,418.1641,293.27948,293.21033
480.5793,480.23483,354.49625,354.19434
339.0121,339.19467,321.37143,321.18008
471.25983,471.14282,222.27063,223.13724
323.1077,323.107,347.50516,347.0673
415.51077,415.10895,459.5445,459.19403
361.89465,362.1015,409.1443,409.23654
421.9392,422.10672,332.26636,332.16486
206.19029,206.06914,444.42935,444.0926
429.68457,430.12302,354.64,354.19434
342.13193,342.1692,359.4117,359.25726
405.9333,406.11896,449.22202,449.187
320.3361,320.0653,423.667,424.1457
437.57318,438.0579,234.2334,234.05598
480.6379,480.18314,418.99295,419.21844
402.14062,402.13797,359.27908,359.14005
382.34485,382.14633,408.2084,408.07147
267.24442,267.1484,413.90692,414.20786
350.84384,350.14127,354.67545,354.1692
279.797,280.13242,262.08267,262.0509
320.31454,320.18484,332.07373,332.11948
417.15295,417.0914,323.47852,323.1634
380.29053,380.09613,344.09055,344.0703
327.91656,328.02228,342.33008,342.20557
240.04636,240.17255,448.44974,448.21106
372.10468,372.10785,345.20303,345.0376
395.94696,396.08923,366.3246,366.0674
390.17133,390.17435,347.34216,347.09244
355.51257,355.0645,229.53093,230.13068
372.46454,372.1353,328.2402,328.1057
407.30884,407.15283,448.90314,449.10638
363.12015,363.12527,374.3216,374.1754
326.50024,326.0759,259.20126,259.07053
225.86168,226.0873,317.90805,318.19434
341.09738,341.17395,333.73602,333.17288
332.4504,332.21,310.683,311.01572
304.73773,305.09644,294.921,295.1433
263.16287,263.1634,382.07947,382.09872
442.42307,442.24677,349.83755,349.0652
475.4593,475.20828,289.2356,289.1361
338.5714,338.13004,346.234,346.2005
319.9042,319.9927,207.63225,208.10994
340.21228,340.1899,298.1381,298.11783
252.49782,252.17255,446.80048,447.2522
366.05017,366.11505,266.18112,266.12308
399.2364,399.07114,403.40155,403.14667
497.14493,496.14166,365.16248,365.21033
358.27814,358.15286,353.26105,353.0237
403.40237,403.10245,466.20728,466.2104
269.9862,270.19434,343.41138,343.16443
464.3296,464.0759,451.4083,451.19296
381.31448,381.05347,378.37064,378.12494
462.36514,462.21548,433.60095,434.07288
259.01804,259.04153,366.21994,366.25186
354.29428,354.1692,363.64874,363.28857
334.37744,334.11966,206.82034,207.06439
376.2976,376.1666,385.9984,386.17764
444.07465,444.06772,479.4541,479.1991
370.1729,370.15286,415.14905,415.1896
367.2439,367.1433,271.16043,271.07977
389.20074,389.08908,274.88705,275.05737
393.38278,393.17224,345.38495,345.07834
349.0859,349.17902,373.33298,373.0984
318.15747,318.12473,325.13727,325.05396
285.5308,285.1365,348.42072,348.17322
306.29056,306.16266,448.37686,448.19107
439.84174,440.14377,376.69522,376.10614
332.1396,332.15118,389.4029,389.03696
348.46725,348.15863,328.15814,327.1075
445.7565,446.2682,343.45877,343.16443
325.26276,325.18893,208.90971,209.14159
422.31763,422.1278,309.1013,309.03235
453.66412,454.15536,460.30493,460.1239
237.82645,238.0776,294.83667,295.17834
