dev_pre,dev_label,test_pre,test_label
1.6643797,1.6683,2.8682294,2.869
2.3284802,2.3268,4.659367,4.6574
3.1242108,3.12795,4.1118817,4.10702
0.61271346,0.6056,2.0537763,2.0586
3.9469037,3.9602,3.8174481,3.8174
4.2685285,4.27026,3.2288556,3.23072
4.3323407,4.35334,1.0757443,1.0598
2.4401746,2.4377,3.136662,3.13182
2.2433362,2.23202,3.8079267,3.80352
3.001988,3.01842,2.2717175,2.2755
4.4121747,4.4177,2.5608869,2.5647
4.6740155,4.6974,2.7113996,2.709
4.3438764,4.35254,4.2145123,4.22452
3.1914105,3.1849,2.4258008,2.4275
4.4967694,4.50344,4.2623944,4.26094
1.2926527,1.2877,4.950688,4.98122
1.1607131,1.1561,3.7037396,3.6985
2.7124066,2.7115,3.4343,3.4317
3.4650617,3.46492,4.638676,4.64364
4.080296,4.0872,3.484013,3.4861
0.098347306,0.09412,4.660649,4.65717
2.6766095,2.6639,4.3180585,4.3088
2.3998914,2.40684,2.9631696,2.95962
2.828404,2.8257,3.6631818,3.66052
0.4749266,0.48102,3.1997418,3.20824
4.5729413,4.58992,2.4707532,2.4802
4.1315656,4.1307,-0.24703538,-0.2565
4.115086,4.1173,4.1491437,4.14916
3.4876752,3.4825,2.3179517,2.3163
4.9550824,4.9882,1.3767096,1.3845
2.521153,2.515,2.3237195,2.3351
4.381596,4.39082,4.865727,4.8744
3.332127,3.3418,1.1051567,1.10952
4.9331098,4.93664,2.8716168,2.87862
3.4169965,3.4238,-1.7381548,-1.743
4.313206,4.34026,4.556828,4.5585
4.565617,4.569,2.7508588,2.7472
0.95825064,0.9791,4.258641,4.2633
3.0197492,3.0254,1.2707087,1.2634
3.593144,3.58802,3.8171735,3.82322
2.568852,2.58434,3.3827558,3.3837
3.1975446,3.1976,3.9280438,3.9231
2.4115644,2.4111,2.5170789,2.5306
4.435612,4.4545,4.5817304,4.58974
2.9937482,2.9961,2.3724256,2.37952
3.0042768,3.0036,3.8184552,3.82554
3.7110639,3.7091,0.9784895,0.97848
3.8797956,3.8852,4.6460004,4.648
2.342671,2.33242,3.6302228,3.6035
0.9251543,0.9133,2.8707929,2.867
0.49209273,0.49922,2.9372602,2.93582
3.7240644,3.7386,4.3023114,4.3001
3.694859,3.69172,3.0633283,3.062
1.1427723,1.1441,4.837895,4.8299
2.5894055,2.5904,0.13721144,0.1243
4.176518,4.18214,3.87888,3.8813
4.0142865,4.01292,0.71520674,0.713
0.92417014,0.9282,4.024266,4.0333
4.874516,4.8962,2.1465192,2.13744
3.2318769,3.2326,3.535832,3.55184
4.2016034,4.20644,3.8837323,3.8848
4.732426,4.7279,2.7916913,2.79442
3.3434796,3.3473,0.07330763,0.0705
4.530461,4.5569,3.605595,3.599
3.07935,3.07152,4.3894696,4.4071
0.8177458,0.8208,4.8232465,4.8199
0.9181448,0.93342,3.6857953,3.69582
1.7597319,1.7566,2.9772687,2.97252
4.3102765,4.3338,4.0596967,4.07684
3.4320111,3.43252,3.690373,3.6898
2.0632977,2.0623,3.1934247,3.2004
2.152104,2.1469,2.0971265,2.0918
2.4097333,2.40542,3.5041547,3.50592
3.260899,3.274,-1.7571977,-1.7046
4.3195233,4.3246,4.818852,4.8182
1.9159437,1.92382,0.48118365,0.475
2.6152692,2.6098,3.2591596,3.2586
4.3993573,4.4098,2.5543866,2.5546
2.731175,2.73432,1.528504,1.52132
2.8190656,2.817,2.8813214,2.9035
2.0518537,2.0469,1.9973799,1.9954
4.5538983,4.5549,2.3049512,2.3104
4.7192426,4.736,3.3250775,3.321
1.4768568,1.4743,0.7194525,0.71022
4.0830426,4.09572,4.647465,4.65
4.0953107,4.11764,1.3485457,1.333
3.7575727,3.7599,4.346989,4.35654
1.1759845,1.1645,2.8804975,2.9021
2.026585,2.0295,2.1237683,2.12742
1.7923476,1.791,2.0783124,2.08426
3.0031781,3.0038,3.2525678,3.2456
1.0797983,1.0787,4.58466,4.5891
2.4346814,2.44402,3.7256207,3.729
0.38124526,0.3735,2.8612714,2.8695
2.1317792,2.1191,4.508488,4.5284
1.7665526,1.7642,3.8832746,3.8943
2.8099103,2.8051,2.2582135,2.2653
3.4517865,3.4653,3.702458,3.7053
3.102055,3.10122,2.3881269,2.3834
1.9626356,1.949,-0.6427721,-0.6549
2.1092572,2.1204,4.6533246,4.6692
4.234654,4.2457,2.936894,2.9404
0.26536238,0.2529,2.4149518,2.42562
2.5910077,2.5979,3.968968,3.9871
