dev_pre,dev_label,test_pre,test_label
1.6690342,1.6683,2.8951986,2.869
2.3375108,2.3268,4.702896,4.6574
3.1445196,3.12795,4.1007395,4.10702
0.6121148,0.6056,2.0478466,2.0586
3.949577,3.9602,3.8028638,3.8174
4.2862225,4.27026,3.2165945,3.23072
4.3696327,4.35334,1.0490899,1.0598
2.443064,2.4377,3.1439645,3.13182
2.2481825,2.23202,3.8040426,3.80352
3.0256655,3.01842,2.2810943,2.2755
4.423437,4.4177,2.5490735,2.5647
4.7439547,4.6974,2.7222054,2.709
4.3625374,4.35254,4.2317944,4.22452
3.2039173,3.1849,2.4297745,2.4275
4.480466,4.50344,4.263446,4.26094
1.2818059,1.2877,4.970462,4.98122
1.144117,1.1561,3.7108905,3.6985
2.722945,2.7115,3.4114988,3.4317
3.4788816,3.46492,4.661769,4.64364
4.111394,4.0872,3.5113428,3.4861
0.06548041,0.09412,4.7128925,4.65717
2.6901834,2.6639,4.3317757,4.3088
2.4173748,2.40684,2.9782512,2.95962
2.835974,2.8257,3.6721666,3.66052
0.47915125,0.48102,3.1861331,3.20824
4.5905495,4.58992,2.4880922,2.4802
4.1380186,4.1307,-0.2543553,-0.2565
4.1430454,4.1173,4.145114,4.14916
3.4741552,3.4825,2.3302996,2.3163
4.970462,4.9882,1.3676317,1.3845
2.545872,2.515,2.3340676,2.3351
4.4124937,4.39082,4.903657,4.8744
3.3563068,3.3418,1.0901756,1.10952
4.970462,4.93664,2.872595,2.87862
3.43661,3.4238,-1.781049,-1.743
4.3199425,4.34026,4.580496,4.5585
4.562503,4.569,2.7576935,2.7472
0.92946446,0.9791,4.2950974,4.2633
3.025654,3.0254,1.2798388,1.2634
3.5941064,3.58802,3.7951677,3.82322
2.565171,2.58434,3.3876007,3.3837
3.2000463,3.1976,3.9214733,3.9231
2.4261167,2.4111,2.5247247,2.5306
4.46334,4.4545,4.6144934,4.58974
3.0402954,2.9961,2.3807538,2.37952
3.0071876,3.0036,3.8040426,3.82554
3.6993577,3.7091,0.9746804,0.97848
3.8773992,3.8852,4.5949984,4.648
2.3327672,2.33242,3.6089208,3.6035
0.92082024,0.9133,2.8667014,2.867
0.52483803,0.49922,2.9549081,2.93582
3.7377927,3.7386,4.35721,4.3001
3.6910722,3.69172,3.0627258,3.062
1.1117063,1.1441,4.861663,4.8299
2.5883982,2.5904,0.11428732,0.1243
4.192747,4.18214,3.8729618,3.8813
4.0309305,4.01292,0.70786,0.713
0.91902316,0.9282,4.0534067,4.0333
4.911619,4.8962,2.1479337,2.13744
3.2532384,3.2326,3.5367773,3.55184
4.199253,4.20644,3.8803575,3.8848
4.730654,4.7279,2.7913563,2.79442
3.3264692,3.3473,0.055397987,0.0705
4.5790396,4.5569,3.6015022,3.599
3.0559309,3.07152,4.4491377,4.4071
0.8061583,0.8208,4.8654995,4.8199
0.9249487,0.93342,3.7043846,3.69582
1.7672989,1.7566,2.9894722,2.97252
4.3696327,4.3338,4.097492,4.07684
3.4310167,3.43252,3.702316,3.6898
2.0810587,2.0623,3.2228,3.2004
2.1260126,2.1469,2.0934355,2.0918
2.4145725,2.40542,3.490091,3.50592
3.2723758,3.274,-1.8623908,-1.7046
4.2992344,4.3246,4.836194,4.8182
1.9282873,1.92382,0.5039386,0.475
2.6103895,2.6098,3.2650487,3.2586
4.421958,4.4098,2.5538342,2.5546
2.7341774,2.73432,1.5317888,1.52132
2.8560927,2.817,2.8468716,2.9035
2.0593622,2.0469,1.9960234,1.9954
4.561058,4.5549,2.3101752,2.3104
4.744567,4.736,3.3048942,3.321
1.4663858,1.4743,0.70298624,0.71022
4.0889063,4.09572,4.6531487,4.65
4.1214476,4.11764,1.3337626,1.333
3.777129,3.7599,4.359868,4.35654
1.1461415,1.1645,2.8646214,2.9021
2.0428083,2.0295,2.1297333,2.12742
1.7740309,1.791,2.0798628,2.08426
2.9795573,3.0038,3.2502916,3.2456
1.0753841,1.0787,4.6180296,4.5891
2.4744036,2.44402,3.7167957,3.729
0.3794918,0.3735,2.8659618,2.8695
2.1316917,2.1191,4.50025,4.5284
1.7854621,1.7642,3.8877532,3.8943
2.8316753,2.8051,2.2651298,2.2653
3.4596756,3.4653,3.7312868,3.7053
3.1100013,3.10122,2.3780844,2.3834
1.9524801,1.949,-0.6856463,-0.6549
2.1036336,2.1204,4.6502247,4.6692
4.242738,4.2457,2.962165,2.9404
0.24940002,0.2529,2.4373262,2.42562
2.6046345,2.5979,3.9954307,3.9871
2.9191196,2.92954,0.56450397,0.5713
2.0315588,2.0521,1.9833348,1.9902
