dev_pre,dev_label,test_pre,test_label
1.5982089,1.6683,2.8999085,2.869
2.334733,2.3268,4.687922,4.6574
3.120428,3.12795,4.135999,4.10702
0.6130587,0.6056,2.0433705,2.0586
3.9874606,3.9602,3.8534846,3.8174
4.2816253,4.27026,3.2349892,3.23072
4.3777385,4.35334,1.0498419,1.0598
2.4465833,2.4377,3.1537604,3.13182
2.2331715,2.23202,3.8432908,3.80352
3.014483,3.01842,2.2864332,2.2755
4.4490952,4.4177,2.5637336,2.5647
4.725785,4.6974,2.732421,2.709
4.363176,4.35254,4.24085,4.22452
3.1968832,3.1849,2.4171882,2.4275
4.5233645,4.50344,4.280169,4.26094
1.2901949,1.2877,4.9748054,4.98122
1.1565386,1.1561,3.7311587,3.6985
2.7158623,2.7115,3.418386,3.4317
3.4760432,3.46492,4.6675344,4.64364
4.1214366,4.0872,3.4809785,3.4861
0.051567078,0.09412,4.7228723,4.65717
2.697146,2.6639,4.3442445,4.3088
2.4036636,2.40684,2.9519973,2.95962
2.8281054,2.8257,3.6743646,3.66052
0.46377665,0.48102,3.2113109,3.20824
4.632584,4.58992,2.4787292,2.4802
4.1724057,4.1307,-0.26148796,-0.2565
4.140368,4.1173,4.1767745,4.14916
3.5013661,3.4825,2.3453584,2.3163
4.9748054,4.9882,1.3554181,1.3845
2.5320458,2.515,2.3470979,2.3351
4.4287076,4.39082,4.9252925,4.8744
3.360324,3.3418,1.0737059,1.10952
4.9689803,4.93664,2.8740458,2.87862
3.4311957,3.4238,-1.8467956,-1.743
4.319488,4.34026,4.5859838,4.5585
4.625303,4.569,2.7850227,2.7472
0.908674,0.9791,4.291819,4.2633
3.043973,3.0254,1.2557533,1.2634
3.598639,3.58802,3.8345532,3.82322
2.5580568,2.58434,3.400641,3.3837
3.2223277,3.1976,3.939404,3.9231
2.4006295,2.4111,2.4954095,2.5306
4.4665704,4.4545,4.632584,4.58974
3.0439863,2.9961,2.3609056,2.37952
3.0217242,3.0036,3.827272,3.82554
3.7238774,3.7091,0.97260135,0.97848
3.91756,3.8852,4.6689906,4.648
2.354096,2.33242,3.628654,3.6035
0.9181864,0.9133,2.8770933,2.867
0.43465292,0.49922,2.9531436,2.93582
3.72679,3.7386,4.3457007,4.3001
3.6947522,3.69172,3.0848298,3.062
1.0956147,1.1441,4.867042,4.8299
2.580522,2.5904,0.13539839,0.1243
4.191337,4.18214,3.8986287,3.8813
4.0311484,4.01292,0.6998811,0.713
0.91030157,0.9282,4.0719237,4.0333
4.951505,4.8962,2.154816,2.13744
3.2518578,3.2326,3.543301,3.55184
4.2146373,4.20644,3.911735,3.8848
4.7869477,4.7279,2.7864122,2.79442
3.357843,3.3473,0.06534815,0.0705
4.583071,4.5569,3.6073766,3.599
3.0921245,3.07152,4.4447265,4.4071
0.7634222,0.8208,4.8583045,4.8199
0.89157474,0.93342,3.720965,3.69582
1.7576604,1.7566,3.0118537,2.97252
4.3995824,4.3338,4.0995927,4.07684
3.438477,3.43252,3.6976647,3.6898
2.084025,2.0623,3.2051892,3.2004
2.1357362,2.1469,2.0815172,2.0918
2.406886,2.40542,3.505735,3.50592
3.272057,3.274,-1.833096,-1.7046
4.3224006,4.3246,4.8539357,4.8182
1.896636,1.92382,0.48219734,0.475
2.5894346,2.6098,3.2846918,3.2586
4.457833,4.4098,2.5554276,2.5546
2.7187748,2.73432,1.5239835,1.52132
2.8508258,2.817,2.8774967,2.9035
2.0664957,2.0469,2.0209868,1.9954
4.6005464,4.5549,2.3149385,2.3104
4.750541,4.736,3.30272,3.321
1.4231564,1.4743,0.6917344,0.71022
4.0981364,4.09572,4.699572,4.65
4.1097865,4.11764,1.3372208,1.333
