[CH3;!R;C]
[C;!R;CCCC]
[c;R;CCC]
[cH;R;CC]
[c;R;CCO]
[o;R;CC]
[cH;R;CO]
[CH2;!R;CC]
[C;!R;CNO]
[O;!R;C]
[NH;!R;CC]
[c;R;CCN]
[c;R;CCF]
[F;!R;C]
[[C@H];R;CCC]
[CH2;R;CC]
[CH;R;CCN]
[cH;R;CN]
[n;R;CC]
[c;R;CNN]
[n;R;CN]
[cH;R;NN]
[n;R;CCC]
[CH3;!R;N]
[[C@@H];R;CCC]
[N;!R;C]
[C;!R;CN]
[O;!R;CC]
[[C@@H];!R;CCO]
[N;R;CCC]
[CH2;R;CN]
[CH2;!R;CO]
[C;!R;COO]
[C;R;CCC]
[C;R;CNS]
[S;!R;CC]
[CH2;!R;CS]
[c;R;CCCl]
[Cl;!R;C]
[N;R;CC]
[C;R;CNO]
[[O-];!R;C]
[C;R;CCCC]
[CH2;!R;CN]
[[NH+];!R;CCC]
[[C@];!R;CCCN]
[[C@H];!R;CCO]
[OH;!R;C]
[cH;R;CS]
[s;R;CC]
[c;R;BrCC]
[Br;!R;C]
[CH3;!R;O]
[N;!R;CCC]
[[C@@H];!R;CCN]
[C;!R;CNN]
[NH2;!R;C]
[N;!R;CO]
[OH;!R;N]
[c;R;NNN]
[nH;R;CN]
[CH;!R;CN]
[N;!R;CC]
[c;R;CNO]
[[C@@H];R;CCN]
[[NH3+];!R;C]
[C;R;CNN]
[C;!R;CFFF]
[C;R;CCN]
[C;R;CCO]
[c;R;NNS]
[[C@H];!R;CCS]
[CH;R;CCC]
[C;R;CCCO]
[C;R;CCCN]
[C;R;NNO]
[NH;R;CC]
[n;R;CCN]
[CH;!R;CCC]
[c;R;CNS]
[[C@H];R;CCO]
[CH2;R;CO]
[O;R;CC]
[c;R;NNO]
[C;!R;NNS]
[S;!R;C]
[c;R;CCS]
[nH;R;CC]
[[NH2+];!R;CC]
[[C@H];!R;CCN]
[C;!R;NNO]
[CH;R;CC]
[NH;!R;CS]
[S;!R;CNOO]
[O;!R;S]
[[C@H];!R;CCC]
[[C@];R;CCCN]
[[C@@];R;CCCC]
[CH;!R;CC]
[c;R;CClN]
[NH;R;CN]
[N;R;CCN]
[CH;!R;CCN]
[N;R;CN]
[C;!R;CCCO]
[[C@@H];R;CCO]
[[C@H];R;CCN]
[C;!R;CCO]
[N;R;CCS]
[O;!R;N]
[[N+];!R;COO]
[[O-];!R;N]
[n;R;CO]
[o;R;CN]
[[C@];!R;CCNN]
[[nH+];R;CC]
[CH2;!R;C]
[CH2;R;CS]
[S;R;CCOO]
[c;R;NOS]
[cH;R;NS]
[C;!R;CCC]
[[C@];R;CCCC]
[O;R;CN]
[NH;R;CO]
[[NH2+];R;CC]
[c;R;COO]
[C;R;COO]
[[NH+];R;CCC]
[S;!R;CCOO]
[[C@@H];!R;CCC]
[CH3;!R;S]
[C;!R;CCCN]
[S;R;CC]
[CH;R;CCO]
[NH;!R;CN]
[N;!R;CN]
[C;R;NNS]
[N;!R;CCS]
[[C@@H];R;COS]
[[C@H];R;CNN]
[CH;R;NN]
[c;R;CClS]
[c;R;BrCO]
[C;R;CCS]
[C;R;NOS]
[CH2;R;NS]
[CH;!R;CS]
[n;R;NN]
[CH2;!R;CCl]
[C;!R;CCN]
[[C@@H];!R;CCS]
[c;R;NSS]
[N;!R;CS]
[c;R;CSS]
[C;!R;CC]
[C;!R;NOO]
[c;R;BrCN]
[[C@];R;CCCO]
[[N+];R;CCC]
[CH;R;CN]
[CH;!R;C]
[S;R;CNOO]
[CH2;R;NO]
[[C@H];R;CCS]
[CH;!R;CO]
[[C@H];!R;CCF]
[[C@@];R;CCCO]
[CH;!R;CCS]
[[S@];!R;CCO]
[CH;R;CS]
[CH;!R;CFF]
[CH2;R;OO]
[C;R;NSS]
[C;!R;CClClCl]
[o;R;NN]
[CH;R;CNN]
[[C@@H];R;CCS]
[n;R;CS]
[s;R;CN]
[CH;!R;CCO]
[n;R;CNN]
[[C@H];R;CNS]
[[C@@H];R;CCCl]
[[C@];!R;CCCO]
[CH;!R;FFO]
[S;!R;NNOO]
[C;R;CCOO]
[[N-];!R;CC]
[NH2;!R;S]
[CH2;!R;NN]
[N;!R;CCO]
[O;!R;CN]
[n;R;CNS]
[[NH+];!R;CC]
[C;!R;NNN]
[n;R;NS]
[[C@@H];R;CNN]
[[n+];R;CCC]
[CH;R;CCS]
[[S@@];!R;CCO]
[[NH2+];!R;C]
[NH2;!R;N]
[[NH+];R;CC]
[C;!R;CCCS]
[C;!R;FFFO]
[[C@@H];R;CNS]
[C;R;CCClCl]
[[C@@];R;CCCN]
[[C@@];R;CCNO]
[[N-];!R;CS]
[CH;!R;FFS]
[[n+];R;CCO]
[CH2;!R;BrC]
[C;R;NNN]
[[C@@];!R;CCCO]
[N;!R;CCN]
[[C@H];!R;CNN]
[[C@];R;CCNN]
[CH2;R;NN]
[NH;R;CS]
[cH;R;NO]
[[S@@];R;CCO]
[[S-];!R;C]
[S;!R;COOO]
[O;!R;CS]
[s;R;NN]
[[C@];R;CCNO]
[[C@];R;CCOO]
[C;R;CCNO]
[[C@H];R;CNO]
[[NH+];!R;CN]
[[C@@];!R;CCCN]
[I;!R;C]
[CH2;!R;CI]
[NH;!R;CO]
[N;R;CCO]
[c;R;NOO]
[c;R;CCI]
[CH;R;COO]
[c;R;BrCS]
[c;R;CFN]
[CH;R;CSS]
[[C@];!R;CCCC]
[[C@@H];R;COO]
[NH;!R;NS]
[NH;!R;C]
[[C@@];!R;CCCC]
[C;R;CCCS]
[[C@@];R;CCNS]
[[n-];R;CN]
[C;!R;CCCl]
[N;R;CS]
[CH;!R;FFN]
[SH;!R;C]
[C;!R;BrCC]
[C;!R;CNS]
[C;R;CClO]
[[C@@H];!R;CCCl]
[[C@H];R;BrCC]
[CH;!R;COO]
[CH2;!R;NS]
[N;!R;CP]
[P;!R;CNNN]
[N;R;CCP]
[C;!R;CCCP]
[CH;R;CO]
[C;R;NOO]
[[C@H];R;COO]
[[C@@];!R;CCNO]
[C;!R;CCF]
[CH2;!R;CF]
[[C@H];!R;CNS]
[N;R;CO]
[O;!R;CO]
[OH;!R;O]
[C;R;CCNN]
[c;R;ClNS]
[[S@];!R;CNO]
[[C@@];R;CCNN]
[[C@@H];R;NOS]
[[NH+];R;CN]
[c;R;COS]
[[nH+];R;CN]
[[S@];R;CCO]
[[C@@H];R;CNO]
