final_pre,label
3.1033701,3.1024
2.6349035,2.6348
5.0645494,5.06222
3.575216,3.5814
3.1552895,3.1566
2.6666589,2.66824
0.4292331,0.4241
4.0170543,4.01802
4.1050287,4.1134
-0.0469973,-0.0469
2.9190508,2.9218
3.9348045,3.93842
2.9854896,2.99306
2.9669196,2.9603
4.5924408,4.5926
3.4916866,3.4853
1.1606964,1.1657
0.470231,0.46129
3.6098184,3.6131
1.7341612,1.7369
3.6019072,3.5951
3.1158295,3.122
1.719852,1.7124
4.190327,4.1852
2.3819002,2.38132
0.8535389,0.8562
3.3744263,3.3679
2.2947146,2.29386
3.2673559,3.27092
3.8083508,3.8052
2.9323253,2.9234
2.9944006,2.99564
0.3248131,0.32062
1.7201485,1.7172
3.9429673,3.94284
3.7798963,3.7847
3.0194873,3.01632
2.3218341,2.3252
1.9162472,1.9178
2.2256499,2.2271
4.3486585,4.343
3.0633169,3.05918
4.1066902,4.10714
2.4549226,2.4557
3.0728322,3.07902
0.4300489,0.4301
3.9639412,3.96382
3.00363,2.9961
3.2770828,3.2791
1.1109401,1.1077
2.4144268,2.4092
2.634396,2.6294
0.4043556,0.40252
3.6834827,3.68102
2.5340876,2.534
-0.4425336,-0.4318
2.9235741,2.92918
2.7193378,2.7128
3.282329,3.28122
3.4218077,3.42542
0.8175832,0.822
0.9675482,0.97132
5.4801291,5.47062
4.1144431,4.1136
4.32595,4.322
1.3545124,1.35848
3.7286412,3.727
0.0407965,0.0436
2.4142989,2.4103
0.8052137,0.81492
2.5282865,2.5274
3.4077108,3.4099
4.0565901,4.053
3.5738733,3.5733
3.4054429,3.40762
-0.1584626,-0.17528
4.0979273,4.1005
3.9567901,3.95982
1.2474442,1.25512
2.3654639,2.36678
4.028332,4.02928
1.4076726,1.417
3.6217909,3.6186
5.2204257,5.21448
1.9786275,1.9722
3.3680081,3.3652
2.3294691,2.3216
3.3454991,3.3452
1.2560089,1.2552
2.7104209,2.7086
3.5954273,3.602
1.0934843,1.1019
3.6358129,3.63632
1.3526675,1.3467
-0.3366168,-0.3398
2.2883813,2.2839
3.7524534,3.74708
1.2798395,1.27522
1.5235391,1.5276
3.9521752,3.94402
2.9197517,2.9184
3.5713094,3.56682
4.5479712,4.5388
1.0652248,1.0674
1.8739974,1.8762
2.1193703,2.1143
2.6729636,2.6702
4.7149378,4.711
1.4862235,1.48802
2.5881498,2.58924
0.9209638,0.9227
4.3506361,4.3639
-0.6388468,-0.6255
1.8909121,1.8886
3.398271,3.3984
0.6277378,0.6309
4.0398544,4.042
-2.09302,-2.0836
4.6444327,4.64514
3.2336898,3.2366
3.094138,3.0873
4.8784051,4.86956
4.0734305,4.075
2.9152481,2.9228
4.2115423,4.2127
1.9912459,1.99162
4.421054,4.42262
3.7264552,3.7287
2.5689792,2.5684
2.3142373,2.3173
2.1151483,2.1175
0.5265332,0.5261
3.7760368,3.7703
1.0275251,1.0284
1.9463815,1.93762
4.2754224,4.2768
3.0693051,3.0751
0.3718786,0.36952
3.228189,3.23329
2.8251999,2.83262
1.7291123,1.7391
2.5409838,2.5432
2.1450153,2.14488
3.1269218,3.1338
3.7200269,3.7116
4.1834092,4.1867
2.0748011,2.0738
2.4758485,2.4695
2.9014666,2.8997
0.4572409,0.4622
2.1898514,2.1837
5.5901371,5.5664
0.4735411,0.4784
2.3492783,2.34484
3.3548971,3.36022
4.2511548,4.2503
4.8656038,4.86434
3.1755687,3.17188
1.9273577,1.9199
1.9909332,1.9977
0.519326,0.524
2.5147322,2.51872
3.6953017,3.7029
3.6072305,3.61074
0.7178046,0.7181
3.8501958,3.8511
1.0265465,1.02812
2.3819889,2.3822
4.0064318,4.0002
4.0324053,4.0371
1.8493799,1.8458
4.2762375,4.2777
2.1676041,2.17352
3.3472484,3.3458
4.3636059,4.3636
1.2517475,1.255
3.5205762,3.52334
2.5123998,2.5113
3.8194112,3.8208
5.3036896,5.3136
3.0774972,3.0578
1.9326725,1.93162
1.5920435,1.5936
1.4102143,1.4095
2.7792299,2.7735
-0.826007,-0.8359
0.9242696,0.9196
3.9676254,3.9674
1.4330979,1.43142
0.4590095,0.4549
1.3491536,1.352
-0.0257085,-0.0286
3.1630349,3.1593
0.0537156,0.0608
1.5528937,1.543
1.3239225,1.33
0.446474,0.444
3.7627974,3.7688
3.9499964,3.95014
2.5300502,2.54252
1.4790401,1.4713
1.5710108,1.56808
3.9161377,3.9162
2.754979,2.75072
2.0179241,2.01392
1.1481213,1.1467
1.7462491,1.73722
-0.0225992,-0.0322
4.4913566,4.4908
2.3808139,2.38162
1.3195757,1.3151
4.1178683,4.1137
3.5679415,3.56416
2.9197223,2.91532
3.1598233,3.22364
2.6795704,2.6712
2.8071584,2.8113
4.1610365,4.1662
3.9109765,3.9021
4.17127,4.17492
2.6584425,2.6593
3.1062881,3.10702
2.6934155,2.68932
4.4536929,4.46272
3.6042262,3.6087
1.5349274,1.54002
0.5116692,0.50748
-1.6277592,-1.6245
3.2041976,3.19694
2.9152864,2.91458
1.6518863,1.6567
1.3735311,1.3719
1.4277014,1.4286
2.5685127,2.5765
0.3621712,0.35922
3.1450064,3.13546
3.5317262,3.53544
3.0550934,3.05692
3.7740201,3.7683
-0.8353152,-0.84432
3.2026286,3.2051
3.3882431,3.391
5.6415774,5.62014
1.7009514,1.6972
0.116899,0.1185
2.0101527,2.0681
3.3516933,3.3506
2.7027621,2.6985
-2.0628275,-2.0533
3.3870707,3.389
3.6573455,3.6483
3.7362271,3.73282
2.1197525,2.1163
1.9695476,1.96972
1.7054903,1.697
-0.59942,-0.6071
1.6391851,1.6352
3.104049,3.1104
2.4334904,2.4412
3.2986852,3.29524
3.035406,3.0364
-0.3160865,-0.30618
-0.5749382,-0.5673
3.1826775,3.1899
3.0058464,3.01342
5.5092147,5.5105
4.5598491,4.5542
1.5667165,1.5692
3.6384559,3.64382
1.9427618,1.93496
2.1260099,2.1217
3.6960898,3.69662
3.8624438,3.86228
2.9564012,2.9568
3.6490892,3.6502
2.9560051,2.9558
3.2007132,3.19522
3.0437005,3.05328
3.9196921,3.9214
0.6147751,0.6197
-0.7192129,-0.7181
3.5142407,3.5213
-1.2632147,-1.26078
4.2569282,4.25858
4.0674771,4.0703
3.1427819,3.1483
3.0879951,3.0926
2.783213,2.78634
1.1529452,1.1452
5.1768292,5.1792
-0.8404884,-0.8516
4.0870397,4.08232
3.9037557,3.9023
2.0885965,2.0888
2.4393842,2.44532
1.4069588,1.4013
3.4323854,3.43452
4.1922244,4.1986
4.4520506,4.4556
2.8732812,2.86812
0.3855974,0.39322
3.1283239,3.1323
2.724133,2.72208
1.5155015,1.5103
2.9862077,2.98592
1.6486269,1.6573
3.1610868,3.16116
1.8151863,1.8177
2.6317656,2.6359
4.0096781,4.00462
1.8997729,1.91642
3.2745669,3.27312
3.2075816,3.2137
4.4249807,4.4336
2.1387888,2.13562
3.4286937,3.4345
4.1652504,4.17344
2.6834732,2.6724
4.0839472,4.0876
4.1460921,4.14288
2.5448755,2.54012
2.3743706,2.3675
-0.948013,-0.9323
3.3376311,3.3389
-1.1184177,-1.1122
-0.2793167,-0.2859
2.4273845,2.4305
0.2498568,0.256
1.9541756,1.95678
3.100702,3.10042
1.9984326,2.0011
3.4217223,3.4248
-1.3168977,-1.2469
1.6056866,1.6146
3.7677076,3.7623
1.0473603,1.0554
-2.4387639,-2.44
3.7996887,3.80552
1.8369117,1.8282
1.865295,1.8693
0.7671171,0.7676
2.0311725,2.0382
3.8226912,3.8175
4.346538,4.34394
3.1256256,3.1206
-2.160362,-2.1874
3.5465952,3.53862
2.2619941,2.25852
3.318158,3.313
3.9234381,3.9253
0.9696125,0.9706
1.4534979,1.457
2.2423838,2.2484
3.692893,3.69842
3.8436282,3.83938
2.7291186,2.73122
2.9022984,2.9044
0.9164509,0.917
3.3916756,3.38988
5.1811371,5.1852
2.3828671,2.38794
2.7778119,2.7725
2.5567773,2.55474
1.7589842,1.7547
-1.5370293,-1.5562
3.189668,3.4081
2.8294192,2.8306
1.8620362,1.8568
3.7743932,3.7747
0.8530652,0.8514
-0.4435813,-0.4502
1.3194277,1.3193
2.870726,2.87412
1.4012525,1.4021
3.5700037,3.5676
-0.2626348,-0.259
1.2815026,1.2809
3.4103313,3.4108
4.8285279,4.82892
1.5374623,1.53954
3.7249028,3.72332
4.054182,4.0522
1.1112533,1.1054
3.9815549,3.9775
1.8376775,1.84482
2.2823357,2.2844
1.6088445,1.6137
3.3270114,3.3281
3.5018893,3.50228
2.859139,2.8625
2.7826875,2.77872
3.8213929,3.8248
2.2723052,2.2725
1.1495826,1.15404
3.1207635,3.1206
4.7089938,4.70642
2.2174805,2.219
2.6501422,2.6512
3.3766091,3.3784
1.0148457,1.01
2.3505404,2.3456
3.1765148,3.1725
-0.023422,-0.0191
0.298473,0.2946
3.4219224,3.42162
2.6775351,2.6789
1.656549,1.65792
-0.6954342,-0.7011
3.2693427,3.2848
-0.0298557,-0.0389
2.2693327,2.2689
3.8344253,3.82692
2.0837423,2.0928
5.0762589,5.0954
0.5880195,0.5824
-0.8161112,-0.8185
1.9621007,1.9611
1.387277,1.3782
2.3607338,2.3659
3.3591575,3.35552
1.8623132,1.86872
4.2646815,4.2595
0.8019211,0.8004
4.5332197,4.5307
4.6056623,4.6088
2.6630277,2.6643
2.9806025,2.973
2.0505861,2.0467
4.543902,4.54274
1.4800137,1.47972
-0.3285301,-0.3386
0.6226989,0.61848
3.9382342,3.94782
1.8411564,1.8352
3.4614692,3.46314
2.4694406,2.4715
2.5094748,2.5147
2.2155769,2.20664
1.1836945,1.1843
4.1370929,4.1434
3.558911,3.5576
1.8458553,1.8407
1.4222398,1.4379
3.2887285,3.29232
1.8683632,1.8661
1.1634138,1.1595
0.253562,0.2493
1.0687695,1.0678
2.5346034,2.53588
1.2301015,1.22932
0.9512936,0.9466
1.1327768,1.1259
2.4057619,2.4029
3.4070561,3.4151
4.7728939,4.77602
2.8655496,2.856
-0.3564971,-0.3514
3.3378942,3.33862
0.4325786,0.4268
3.3786392,3.37814
2.4364743,2.4338
1.0795526,1.0403
4.5737745,4.5766
4.444043,4.4389
4.5691962,4.57324
4.7217601,4.72392
-0.2755666,-0.2716
4.3498184,4.3571
3.512224,3.51244
4.4735985,4.47088
2.8468487,2.8422
2.9351963,2.93208
2.8394722,2.8366
2.9142939,2.9072
1.4833584,1.4901
0.9721002,0.97112
3.3673818,3.3647
3.1846711,3.18002
1.5507943,1.5453
2.8961362,2.8961
3.4209525,3.4279
0.0876817,0.0819
1.1696585,1.1635
3.2021271,3.1966
2.3923663,2.386
0.6795177,0.6852
1.501617,1.5036
2.6946669,2.69294
3.403986,3.4054
3.1416655,3.13912
2.7632604,2.75842
4.0296446,4.0367
1.6327648,1.63332
-0.576131,-0.5679
3.2532349,3.2455
2.8364812,2.8317
3.3887379,3.39252
2.7725146,2.7645
2.0879864,2.0835
3.4587849,3.4568
4.5558923,4.56034
0.8273231,0.8366
4.6268605,4.6283
4.5887483,4.5934
3.7731016,3.7703
3.2013429,3.20814
2.4555222,2.46004
4.8025845,4.80902
1.2704328,1.26812
0.8969144,0.9033
1.3495553,1.3497
-0.9354662,-0.9345
1.413389,1.411
0.0996574,0.09224
0.1345811,0.12548
2.4261799,2.4292
2.9366578,2.9376
-0.1942286,-0.2008
-0.7101103,-0.7109
2.0858977,2.0931
1.2067233,1.2158
3.1384425,3.13562
2.688502,2.6825
2.4754668,2.4814
2.5594393,2.5636
4.7687452,4.7591
1.8573136,1.8512
-0.5677263,-0.5714
0.27586,0.2701
1.6141827,1.6171
1.9910707,1.992
2.9430331,2.9513
0.2214247,0.2266
4.1307868,4.13586
2.4750716,2.48102
2.2224968,2.2226
1.9847607,1.98157
-0.8881895,-0.8912
3.8824886,3.8885
3.0348443,3.0291
1.4715265,1.4743
1.1256568,1.1265
2.8719025,2.8777
4.7672961,4.76249
3.378531,3.3778
-0.7808407,-0.7908
3.600947,3.60242
2.26983,2.2626
4.2562918,4.25364
3.6827459,3.6879
0.129685,0.1209
0.8151706,0.8229
2.3138886,2.3146
3.8980854,3.9024
2.2279177,2.2335
3.2891587,3.2896
0.2548018,0.25086
2.3342589,2.3314
4.6737135,4.6816
3.0095201,3.00932
1.8116591,1.81612
2.456066,2.459
2.7303202,2.7256
4.0480408,4.044
4.1042289,4.105
1.3147765,1.3418
-1.5966862,-1.6056
1.7766746,1.7773
2.9303049,2.9265
2.6317845,2.6413
2.9745911,2.97076
4.6486229,4.65364
2.7031103,2.7012
2.6216487,2.62286
2.1250052,2.1226
2.8509035,2.8588
2.5572684,2.56234
2.9030031,2.9011
2.4889107,2.48244
3.5065964,3.51016
1.4645909,1.47
1.8025454,1.7957
3.5731456,3.5732
1.5209789,1.51552
2.0041221,2.0083
2.896794,2.889
2.3993551,2.3994
0.5910238,0.58724
1.2526258,1.2504
3.0639878,3.0658
3.8633541,3.86872
1.9337618,1.93772
3.4272106,3.4264
2.4136534,2.4139
0.5565987,0.56318
3.8941134,3.8946
3.746449,3.7511
3.9008425,3.897
3.064,3.06762
0.889149,0.89292
2.9767974,2.9772
1.8267027,1.82334
2.018658,2.0256
2.7611227,2.7591
3.5389316,3.5344
2.5434312,2.53594
-0.7757058,-0.784
3.3067472,3.3131
-0.1851225,-0.1856
2.6191571,2.62568
2.2164111,2.22072
0.9430981,0.944
2.2585656,2.2545
0.7695482,0.7709
3.5703978,3.56992
2.1628729,2.166
1.9553345,1.9552
1.6859484,1.6904
2.6963768,2.693
2.720531,2.7202
1.3718162,1.37972
1.7696486,1.762
2.593008,2.59524
2.3537805,2.35764
3.047201,3.0488
4.0377183,4.0368
2.0861371,2.0805
3.5183211,3.52362
2.6949757,2.6959
3.0778012,3.0834
0.4366853,0.43172
1.0821571,1.08402
1.0290321,1.0235
4.6833472,4.67908
4.9984345,4.98948
2.5312852,2.5358
0.5501449,0.5457
1.9914034,1.9873
4.0103136,4.0158
2.0614257,2.057
2.714943,2.7087
3.9101917,3.9129
4.3471051,4.35306
0.9176093,0.9083
3.1158733,3.1201
2.9696059,2.97354
3.2404967,3.2444
3.5464973,3.5469
-1.0426915,-1.0509
3.4289794,3.43
2.8733024,2.86872
2.2217517,2.2201
3.0083336,3.0034
2.4754948,2.4715
2.1288206,2.1368
1.9776119,1.9839
2.6727757,2.67174
3.4815226,3.485
2.5058355,2.5008
1.1124337,1.11022
3.2595125,3.26084
3.8766347,3.8767
3.43414,3.4341
3.065532,3.0618
2.9595503,2.95842
4.452369,4.45224
1.6668652,1.66034
3.9979811,3.9986
2.5809169,2.58972
1.3581877,1.48942
2.9443893,2.956
3.9673151,3.96632
1.7635319,1.7637
1.9124506,1.9089
3.7691824,3.7684
3.2168924,3.21622
3.5994311,3.59782
0.1935059,0.1993
3.3184982,3.3126
1.7511174,1.7432
2.7209264,2.72232
1.1462487,1.1408
3.157085,3.1631
2.3251164,2.326
2.4200294,2.4236
3.2564682,3.25742
1.7533558,1.74848
1.578493,1.587
4.183159,4.1803
5.0254253,5.02122
1.4477997,1.4533
2.0271459,2.03468
5.0224599,5.02006
4.0580519,4.05282
3.6237877,3.63022
4.4486421,4.4455
0.1900331,0.1879
2.2304967,2.2257
1.4961378,1.5033
3.4598766,3.45532
0.6064608,0.6096
4.4081656,4.4021
3.4884156,3.48722
2.4689729,2.46912
1.700796,1.6951
2.8176293,2.8232
3.0997872,3.104
1.6517655,1.649
3.1735846,3.1703
1.1211868,1.1274
3.1598235,3.1596
1.6570041,1.655
3.4791156,3.4839
3.2584751,3.265
3.4580485,3.465
1.8298455,1.8223
2.7187925,2.70852
1.8515512,1.85544
3.0738684,3.0777
2.9726066,2.9691
0.7413771,0.75002
1.5392472,1.5466
1.6237135,1.6184
2.2913477,2.2883
0.4526277,0.45282
3.1906085,3.1977
