final_pre,test_label
0.67311,0.6690402
0.58632,0.5879868
0.67555,0.67996496
0.80153,0.8024222
0.66421,0.6645483
0.82936,0.83133376
0.83774,0.838978
0.66964,0.6659547
0.92233,0.924511
0.90621,0.905295
0.7576,0.76995933
0.83785,0.8406692
0.80009,0.80205745
0.82752,0.82734334
0.61651,0.6251595
0.50835,0.50444466
0.7238,0.7257576
0.77746,0.7790437
0.4188,0.41769853
0.76194,0.7612849
0.51373,0.52103287
0.5485,0.5467149
0.52061,0.51786536
0.45838,0.4566768
0.78578,0.78561014
0.87112,0.87170464
0.82475,0.82378453
0.65336,0.65080905
0.89709,0.89588934
0.76124,0.76132137
0.76318,0.76684606
0.59626,0.594718
0.70945,0.7084594
0.90617,0.90650684
0.20525,0.19661382
0.47161,0.4761737
0.83447,0.8380022
0.66576,0.664736
0.71938,0.71842045
0.91599,0.9163703
0.81412,0.81522155
0.53494,0.53884757
0.63006,0.6249474
0.60693,0.6065665
0.89215,0.89199996
0.54221,0.5453268
0.71738,0.718522
0.25078,0.28604916
0.50279,0.4575267
0.90539,0.90459526
0.72096,0.72181475
0.48641,0.489547
0.86159,0.8620028
0.49496,0.49628574
0.7275,0.72732735
0.61591,0.6143619
0.58809,0.5734661
0.83049,0.8334725
0.82465,0.8267538
0.5287,0.5268749
0.73682,0.7382702
0.68172,0.68330765
0.74973,0.7497303
0.49166,0.49203742
0.58581,0.5885448
0.43844,0.43842927
0.65317,0.6536472
0.85694,0.8568931
0.48524,0.48535454
0.46243,0.4635056
0.79734,0.79600513
0.45259,0.4561634
0.91595,0.91594684
0.66827,0.6684292
0.35,0.34939417
0.69609,0.69556355
0.8429,0.8450264
0.66383,0.6642957
0.84169,0.8389648
0.43083,0.42718127
0.70068,0.7038435
0.90362,0.90336025
0.75176,0.7509692
0.85381,0.85263634
0.54135,0.5399001
0.82161,0.8202215
0.69161,0.6906274
0.37041,0.37111402
0.89452,0.8943231
0.83744,0.8353975
0.70811,0.7057894
0.34913,0.3508412
0.93594,0.935674
0.75771,0.7584699
0.53047,0.533186
0.76373,0.7657312
0.63043,0.63006765
0.86337,0.86272556
0.73767,0.7396605
0.68722,0.6833928
0.71027,0.7081114
0.65785,0.65533257
0.65963,0.65770805
0.86376,0.866447
0.76192,0.77570426
0.86777,0.86834663
0.4991,0.49688154
0.68152,0.6809968
0.78118,0.78101844
0.82964,0.8279834
0.44227,0.43994278
0.8701,0.8674694
0.87918,0.880454
0.3756,0.37868258
0.47571,0.42659613
0.7207,0.7193068
0.56317,0.5595651
0.48449,0.48277715
0.75751,0.7564052
0.79548,0.7948232
0.59817,0.5925739
0.77438,0.7738539
0.78735,0.78835166
0.69426,0.69598466
0.82302,0.82330185
0.83394,0.83347684
0.70716,0.7049748
0.86793,0.8650822
0.6613,0.6633157
0.77622,0.7771103
0.75425,0.7540178
0.93527,0.9369032
0.59748,0.5956958
0.50365,0.5029908
0.86653,0.8657518
0.53964,0.5381097
